row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 03 tháng > Triệu VND,Quá hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01 đến 03 tháng > Triệu VND,Trong hạn > Từ 03 đến 12 tháng > Triệu VND,Trong hạn > Từ 01 đến 05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng cộng > Triệu VND,numeric__Quá hạn > Trên 03 tháng > Triệu VND,numeric__Quá hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01 đến 03 tháng > Triệu VND,numeric__Trong hạn > Từ 03 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ 01 đến 05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng cộng > Triệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tải sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,4.126.643,-,-,-,-,4.126.643,,,4126643.0,,,,,4126643.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,59.907.114,-,-,-,-,59.907.114,,,59907114.0,,,,,59907114.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,147.740.825,8.600.000,27.921.384,-,-,184.262.209,,,147740825.0,8600000.0,27921384.0,,,184262209.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,490.537,-,-,490.537,,,,,490537.0,,,490537.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),13.320.287,18.792.886,26.505.611,53.160.477,217.370.246,156.429.964,60.791.308,546.370.779,13320287.0,18792886.0,26505611.0,53160477.0,217370246.0,156429964.0,60791308.0,546370779.0
Hoạt động mua nợ (*),Tải sản > Hoạt động mua nợ (*),Hoạt động mua nợ (*),-,-,1.642.497,9.096.691,9.763.474,3.423.207,-,23.925.869,,,1642497.0,9096691.0,9763474.0,3423207.0,,23925869.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,50.020,1.000.000,18.715.462,36.647.338,20.531.827,76.944.647,,,50020.0,1000000.0,18715462.0,36647338.0,20531827.0,76944647.0
"Góp vốn, đầu tư dài hạn","Tải sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,1.166.357,1.166.357,,,,,,,1166357.0,1166357.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,644.206,927,24.014,440.636,750.653,1.860.436,,,644206.0,927.0,24014.0,440636.0,750653.0,1860436.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),54.928,-,19.919.937,3.780.856,11.726.551,1.042.433,3.198.869,39.723.574,54928.0,,19919937.0,3780856.0,11726551.0,1042433.0,3198869.0,39723574.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,13.375.215,18.792.886,260.536.853,75.638.951,286.011.668,197.983.578,86.439.014,938.778.165,13375215.0,18792886.0,260536853.0,75638951.0,286011668.0,197983578.0,86439014.0,938778165.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.984.355,9.435.002,2.989,3.626,-,11.425.972,,,1984355.0,9435002.0,2989.0,3626.0,,11425972.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,121.038.777,11.197.928,23.087.062,13.883.528,-,169.207.295,,,121038777.0,11197928.0,23087062.0,13883528.0,,169207295.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,154.158.847,110.445.540,264.113.946,31.995.677,272,560.714.282,,,154158847.0,110445540.0,264113946.0,31995677.0,272.0,560714282.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,,,(143.083),228.274,(84.764),-,-,427,,,-143083.0,228274.0,-84764.0,,,427.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,1.641,76.346,78.084,624.203,1.941.678,2.721.952,,,1641.0,76346.0,78084.0,624203.0,1941678.0,2721952.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.346.998,2.930.000,25.156.774,20.178.608,35.821.885,87.434.265,,,3346998.0,2930000.0,25156774.0,20178608.0,35821885.0,87434265.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,12.759.618,3.770.582,4.406.744,373.950,3.336,21.314.230,,,12759618.0,3770582.0,4406744.0,373950.0,3336.0,21314230.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,293.147.153,138.083.672,316.760.835,67.059.592,37.767.171,852.818.423,,,293147153.0,138083672.0,316760835.0,67059592.0,37767171.0,852818423.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,13.375.215,18.792.886,(32.610.300),(62.444.721),(30.749.167),130.923.986,48.671.843,85.959.742,13375215.0,18792886.0,-32610300.0,-62444721.0,-30749167.0,130923986.0,48671843.0,85959742.0
