row_label_raw,row_label_full,col_0,Vốn điều lệ (**),Thếng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Các quỹ khác,Vốn đầu tư xây dựng cơ bản,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ (**),numeric__Thếng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Các quỹ khác,numeric__Vốn đầu tư xây dựng cơ bản,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,Tại ngày 01 tháng 01 năm 2024,29.076.321,535.956,(413.448),1.444.109,3.142.201,121.933,89,10.561.698,1.931.463,46.400.322,29076321.0,535956.0,-413448.0,1444109.0,3142201.0,121933.0,89.0,10561698.0,1931463.0,46400322.0
Phát hành cổ phiếu cho người lao động,Phát hành cổ phiếu cho người lao động,Phát hành cổ phiếu cho người lao động,200.000,-,-,-,-,-,-,-,-,200.000,200000.0,,,,,,,,,200000.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,5.825.102,-,-,-,-,-,-,(5.825.102),-,-,5825102.0,,,,,,,-5825102.0,,
Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,-,-,-,-,-,-,-,(2.912.550),-,(2.912.550),,,,,,,,-2912550.0,,-2912550.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,12.762.953,484.695,13.247.648,,,,,,,,12762953.0,484695.0,13247648.0
Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,Công ty con chia cổ tức trong năm,-,-,-,-,-,-,-,-,(250.000),(250.000),,,,,,,,,-250000.0,-250000.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,533.514,1.064.604,25.000,-,(1.623.118),-,-,,,,533514.0,1064604.0,25000.0,,-1623118.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(10.000),-,(10.000),,,,,,,,-10000.0,,-10000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(18.159),-,-,-,(18.159),,,,,,-18159.0,,,,-18159.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,35.101.423,535.956,(413.448),1.977.623,4.206.805,128.774,89,12.953.881,2.166.158,56.657.261,35101423.0,535956.0,-413448.0,1977623.0,4206805.0,128774.0,89.0,12953881.0,2166158.0,56657261.0
Tăng vốn điều lệ tử nguồn Vốn chủ sở hữu,Tăng vốn điều lệ tử nguồn Vốn chủ sở hữu,Tăng vốn điều lệ tử nguồn Vốn chủ sở hữu,1.810.065,-,-,(1.810.065),-,-,-,-,-,-,1810065.0,,,-1810065.0,,,,,,
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,9.648.540,-,-,-,-,-,-,(9.648.540),-,-,9648540.0,,,,,,,-9648540.0,,
Phát hành cổ phiếu để chuyển đối trái phiếu,Phát hành cổ phiếu để chuyển đối trái phiếu,Phát hành cổ phiếu để chuyển đối trái phiếu,3.492.735,686.838,-,-,-,-,-,-,-,4.179.573,3492735.0,686838.0,,,,,,,,4179573.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,52.080,413.448,-,-,-,-,-,-,465.528,,52080.0,413448.0,,,,,,,465528.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,16.524.388,549.234,17.073.622,,,,,,,,16524388.0,549234.0,17073622.0
Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),-,-,-,2.891.237,2.704.869,25.000,-,(5.621.106),-,-,,,,2891237.0,2704869.0,25000.0,,-5621106.0,,
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,-,-,-,-,(20.000),-,(20.000),,,,,,,,-20000.0,,-20000.0
Điều chính quỹ đã trích lập,Điều chính quỹ đã trích lập,Điều chính quỹ đã trích lập,-,-,-,-,(2.423),-,-,2.423,-,-,,,,,-2423.0,,,2423.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(70.462),-,-,-,(70.462),,,,,,-70462.0,,,,-70462.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,50.052.763,1.274.874,-,3.058.795,6.909.251,83.312,89,14.191.046,2.715.392,78.285.522,50052763.0,1274874.0,,3058795.0,6909251.0,83312.0,89.0,14191046.0,2715392.0,78285522.0
