row_label_raw,row_label_full,STT,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,18,11.425.972,15.434,,18.0,11425972.0,15434.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,11.425.972,15.434,,,11425972.0,15434.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,169.207.295,99.460.579,,19.0,169207295.0,99460579.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,19.1,129.408.777,74.877.046,,191.0,129408777.0,74877046.0
2.,B. > 2.,2.,Vay các TCTD khác,19.2,39.798.518,24.583.533,,192.0,39798518.0,24583533.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,560.714.282,437.505.165,,20.0,560714282.0,437505165.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,427,18.449,,9.0,427.0,18449.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,2.721.952,2.788.443,,21.0,2721952.0,2788443.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,22,87.434.265,81.349.744,,22.0,87434265.0,81349744.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,21.314.230,19.571.383,,,21314230.0,19571383.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",23.1,9.306.729,8.013.166,,231.0,9306729.0,8013166.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,23.2,12.007.501,11.558.217,,232.0,12007501.0,11558217.0
,,,TỔNG NỘ PHẢI TRẢ,,852.818.423,640.709.197,,,852818423.0,640709197.0
VIII.,B. > VIII.,VIII.,Vốn chủ sở hữu,25,78.285.522,56.657.261,,25.0,78285522.0,56657261.0
1.,B. > 1.,1.,Vốn của TCTD,,51.327.726,35.224.020,,,51327726.0,35224020.0
a.,B. > a.,a.,Vốn điều lệ,,50.052.763,35.101.423,,,50052763.0,35101423.0
b.,B. > b.,b.,Vốn đầu tư xây dựng cơ bán,,89,89,,,89.0,89.0
c.,B. > c.,c.,Thặng dư vốn cổ phần,,1.274.874,535.956,,,1274874.0,535956.0
d.,B. > d.,d.,Cổ phiếu quỹ,,,(413.448),,,,-413448.0
2.,B. > 2.,2.,Quỹ của TCTD,,10.051.358,6.313.202,,,10051358.0,6313202.0
3.,B. > 3.,3.,Lợi nhuận chưa phân phối,,14.191.046,12.953.881,,,14191046.0,12953881.0
4.,B. > 4.,4.,Lợi ích của cổ đông không kiểm soát,,2.715.392,2.166.158,,,2715392.0,2166158.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,931.103.945,697.366.458,,,931103945.0,697366458.0
