row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__col_1,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
1,1,1,Công ty Cổ phần Đầu tư Phát triển và Xây dựng Thành Đỏ,246.849.592.925,(12.518.584.331),234.331.008.594,209.059.228.943,(12.518.584.331),196.540.644.612,,246849592925.0,-12518584331.0,234331008594.0,209059228943.0,-12518584331.0,196540644612.0
2,2,2,Công ty Cổ phần Tập đoàn FLC,174.569.183.382,(106.751.385.390),67.817.797.992,174.569.183.382,(106.751.385.390),67.817.797.992,,174569183382.0,-106751385390.0,67817797992.0,174569183382.0,-106751385390.0,67817797992.0
3,3,3,Công ty TNHH Đầu tư Phát triển Công Nghệ Cao Hà Nội,59.949.692.975,(34.979.522.974),24.970.170.001,74.401.786.265,(31.881.707.904),42.520.078.361,,59949692975.0,-34979522974.0,24970170001.0,74401786265.0,-31881707904.0,42520078361.0
4,4,4,Công ty Cổ phần Đầu tư Thương mại Dịch vụ Cầu Giấy,45.334.242.312,(31.577.332.834),13.756.909.478,45.334.242.312,(15.293.838.237),30.040.404.075,,45334242312.0,-31577332834.0,13756909478.0,45334242312.0,-15293838237.0,30040404075.0
5,5,5,Công ty TNHH Khách sạn Kinh Đỏ,35.114.698.647,(27.484.865.126),7.629.833.521,35.114.698.647,(13.255.581.428),21.859.117.219,,35114698647.0,-27484865126.0,7629833521.0,35114698647.0,-13255581428.0,21859117219.0
6,6,6,Công ty Cổ phần Hóa dầu Quân đội,34.229.683.871,(12.899.994.196),21.329.689.675,37.921.291.047,(12.711.022.055),25.210.268.992,,34229683871.0,-12899994196.0,21329689675.0,37921291047.0,-12711022055.0,25210268992.0
7,7,7,Công ty TNHH Xây dựng Sản xuất Thương mại Tài Nguyên,33.040.839.888,(15.092.917.947),17.947.921.941,33.240.524.367,(14.892.917.947),18.347.606.420,,33040839888.0,-15092917947.0,17947921941.0,33240524367.0,-14892917947.0,18347606420.0
8,8,8,Công ty Cổ phần May Lê Trực,24.820.939.616,(24.820.939.616),-,24.322.404.658,(11.043.901.286),13.278.503.372,,24820939616.0,-24820939616.0,,24322404658.0,-11043901286.0,13278503372.0
9,9,9,Công ty CP Thương mại và Đầu tư Hồng Hà,57.673.923.878,(14.038.258.827),43.635.665.051,96.071.006.515,(17.199.000.142),78.872.006.373,,57673923878.0,-14038258827.0,43635665051.0,96071006515.0,-17199000142.0,78872006373.0
10,10,10,Khác,2.074.251.108.930,(122.730.598.581),1.951.520.510.349,906.893.078.343,(150.572.878.297),756.320.200.046,,2074251108930.0,-122730598581.0,1951520510349.0,906893078343.0,-150572878297.0,756320200046.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.785.833.906.424,(402.894.399.822),2.382.939.506.602,1.636.927.444.479,(386.120.817.017),1.250.806.627.462,,2785833906424.0,-402894399822.0,2382939506602.0,1636927444479.0,-386120817017.0,1250806627462.0
