row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.975.769.943,40.766.574,-,2.016.536.517,1975769943.0,40766574.0,,2016536517.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,37.888.803,591.829.556,(553.830.956),75.887.403,37888803.0,591829556.0,-553830956.0,75887403.0
Khác,Phải thu > Khác,Khác,1.149.910,-,-,1.149.910,1149910.0,,,1149910.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.014.808.656,632.596.130,(553.830.956),2.093.573.830,2014808656.0,632596130.0,-553830956.0,2093573830.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,141.403.007.986,412.202.826.720,(548.192.777.232),5.413.057.474,141403007986.0,412202826720.0,-548192777232.0,5413057474.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,58.186.636.457,20.555.469.601,(59.610.285.574),19.131.820.484,58186636457.0,20555469601.0,-59610285574.0,19131820484.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.849.862.471,30.997.179.099,(29.821.422.088),8.025.619.482,6849862471.0,30997179099.0,-29821422088.0,8025619482.0
Khác,Phải nộp > Khác,Khác,20.749.200,4.846.796.076,(330.474.978),4.537.070.298,20749200.0,4846796076.0,-330474978.0,4537070298.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,206.460.256.114,468.602.271.496,(637.954.959.872),37.107.567.738,206460256114.0,468602271496.0,-637954959872.0,37107567738.0
