row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,42.297.185.783,21.641.101.728,1.216.005.358,65.154.292.869,42297185783.0,21641101728.0,1216005358.0,65154292869.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,1.304.650.000,-,1.304.650.000,,1304650000.0,,1304650000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,42.297.185.783,22.945.751.728,1.216.005.358,66.458.942.869,42297185783.0,22945751728.0,1216005358.0,66458942869.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,6.651.579.969,1.216.005.358,7.867.585.327,,6651579969.0,1216005358.0,7867585327.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(9.378.077.074),(1.216.005.358),(10.594.082.432),,-9378077074.0,-1216005358.0,-10594082432.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(4.306.512.187),-,(4.306.512.187),,-4306512187.0,,-4306512187.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(13.684.589.261),(1.216.005.358),(14.900.594.619),,-13684589261.0,-1216005358.0,-14900594619.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,42.297.185.783,12.263.024.654,-,54.560.210.437,42297185783.0,12263024654.0,,54560210437.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,42.297.185.783,9.261.162.467,-,51.558.348.250,42297185783.0,9261162467.0,,51558348250.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),7.007.857.543,-,-,7.007.857.543,7007857543.0,,,7007857543.0
