row_label_raw,row_label_full,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chỉ phíthầu phụ,1.841.381.366,3.465.863.754,numeric__Công tyliên kết,numeric__Chỉ phíthầu phụ,numeric__1.841.381.366,numeric__3.465.863.754
Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8),,,,
Công ty TNHHTiến Phát Đông Bắc(Thuyết minh số 4.2),Phải thu theo tiến độ kế hoạch hợp đồng xây dựng (Thuyết minh số 8) > Công ty TNHHTiến Phát Đông Bắc(Thuyết minh số 4.2),Công ty TNHHTiến Phát Đông Bắc(Thuyết minh số 4.2),Công tyliên kếttrước khithành côngty con,Cung cấpdịch vụ,-,1.299.361.795,,,,1299361795.0
