row_label_raw,row_label_full,STT,Tên công ty liên kết,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Tên công ty liên kết,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
STT,STT,STT,Tên công ty liên kết,%sở hữu,VND,%sở hữu,VND,,,,,
1.,STT > 1.,1.,Công ty Cổ phần 479 Hòa Bình (i),"49,25",87.309.407.592,"22,22",35.420.934.367,,49.25,87309407592.0,22.22,35420934367.0
2.,STT > 2.,2.,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình (ii),"47,82",32.695.938.903,"47,82",43.217.941.275,,47.82,32695938903.0,47.82,43217941275.0
3.,STT > 3.,3.,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt (iii),"49,10",28.311.584.245,"46,93",27.581.251.630,,49.1,28311584245.0,46.93,27581251630.0
4.,STT > 4.,4.,Công ty Cổ phần Chứng khoán Sen Vàng (iv),"42,53",14.864.603.841,"42,53",17.507.680.419,,42.53,14864603841.0,42.53,17507680419.0
5.,STT > 5.,5.,Công ty Cổ phần Trang trí Nội thất Onwa Tech (v),"21,51",5.100.095.126,"30,17",4.554.407.421,,21.51,5100095126.0,30.17,4554407421.0
6.,STT > 6.,6.,Công ty TNHH Tiến Phát Đông Bắc(Thuyết minh số 4.2),-,-,"49,98",168.110.055.568,,,,49.98,168110055568.0
,,,TỔNG CỘNG,,168.281.629.707,,296.392.270.680,,,168281629707.0,,296392270680.0
