row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Cung cấp dịch vụ,7.573.447.012,4.899.554.565,,,7573447012.0,4899554565.0
Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Công ty liên kết trước khi thành công ty con,Phí môi giới,-,1.100.452.134,,,,1100452134.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,7.573.447.012,6.000.006.699,,,7573447012.0,6000006699.0
