row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành,Năm nay > 9.387.517.163.675 > 1.437.790.825.555,Năm trước > 11.847.045.381.382 > 6.473.362.254.625,numeric__Năm nay > 9.387.517.163.675 > 1.437.790.825.555,numeric__Năm trước > 11.847.045.381.382 > 6.473.362.254.625
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.825.307.989.230,18.320.407.636.007,10825307989230.0,18320407636007.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,18.288.975.195.978,15.559.067.497.699,18288975195978.0,15559067497699.0
