row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm > Tăng trong năm,Số phát sinh trong năm > Tăng do hợp nhất kinh doanh,Số phát sinh trong năm > Giảm trong năm,Số phát sinh trong năm > Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm > Tăng trong năm,numeric__Số phát sinh trong năm > Tăng do hợp nhất kinh doanh,numeric__Số phát sinh trong năm > Giảm trong năm,numeric__Số phát sinh trong năm > Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.742.437.876.134,10.693.652.410.934,33.333.336.000,(10.600.391.711.466),103.178.079.061,4.972.209.990.663,4742437876134.0,10693652410934.0,33333336000.0,-10600391711466.0,103178079061.0,4972209990663.0
Vay ngắn hạn từ ngân hàng (Thuyết minh số 24.1),Vay ngắn hạn từ ngân hàng (Thuyết minh số 24.1),Vay ngắn hạn từ ngân hàng (Thuyết minh số 24.1),4.548.809.798.240,10.691.652.410.934,-,(10.433.820.785.384),-,4.806.641.423.790,4548809798240.0,10691652410934.0,,-10433820785384.0,,4806641423790.0
Vay bên khác (Thuyết minh số 24.2),Vay bên khác (Thuyết minh số 24.2),Vay bên khác (Thuyết minh số 24.2),3.373.822.481,2.000.000.000,-,(2.150.000.000),-,3.223.822.481,3373822481.0,2000000000.0,,-2150000000.0,,3223822481.0
Vay dài hạn đến hạn trả (Thuyết minh số 24.3 và 24.4),Vay dài hạn đến hạn trả (Thuyết minh số 24.3 và 24.4),Vay dài hạn đến hạn trả (Thuyết minh số 24.3 và 24.4),190.254.255.413,-,33.333.336.000,(164.420.926.082),103.178.079.061,162.344.744.392,190254255413.0,,33333336000.0,-164420926082.0,103178079061.0,162344744392.0
Dài hạn,Dài hạn,Dài hạn,218.638.934.049,30.085.680.000,-,(190.991.908),(103.178.079.061),145.355.543.080,218638934049.0,30085680000.0,,-190991908.0,-103178079061.0,145355543080.0
Vay dài hạn từ ngân hàng (Thuyết minh số 24.3),Vay dài hạn từ ngân hàng (Thuyết minh số 24.3),Vay dài hạn từ ngân hàng (Thuyết minh số 24.3),218.638.934.049,24.119.960.000,-,-,(102.980.479.061),139.778.414.988,218638934049.0,24119960000.0,,,-102980479061.0,139778414988.0
Vay bên khác (Thuyết minh số 24.4),Vay bên khác (Thuyết minh số 24.4),Vay bên khác (Thuyết minh số 24.4),-,5.965.720.000,-,(190.991.908),(197.600.000),5.577.128.092,,5965720000.0,,-190991908.0,-197600000.0,5577128092.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.961.076.810.183,10.723.738.090.934,33.333.336.000,(10.600.582.703.374),-,5.117.565.533.743,4961076810183.0,10723738090934.0,33333336000.0,-10600582703374.0,,5117565533743.0
