row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh > Ngân hàng TMCP Tiên Phong > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh – Chi nhánh Hồ Chí Minh > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Đà Nẵng,Số cuối năm(VND) > 7.066.969.635 > 5.801.219.509 > 5.000.000.000 > 456.043.104,Ngày đáo hạn > Từ ngày 3 tháng 2 năm 2021 đến ngày 30 tháng 6 năm 2021 > Từ ngày 3 tháng 3 năm 2021 đến ngày 13 tháng 7 năm 2021 > Ngày 7 tháng 6 năm 2021 > Từ ngày 7 tháng 3 năm 2021 đến ngày 13 tháng 4 năm 2021,"Lãi suất > 11,53% > 8,2%/năm > Lãi suất áp dụng theo từng lần giải ngân > Từ 8,5%/năm đến 9,5%/năm","Tài sản đảm bảo(Thuyết minh số 13 và 15) > Tín chấp > Quyền sử dụng đất và tài sản gắn liền với đất tại thừa 5158, Xã Long Hậu, Huyện Cần Giuộc, Tĩnh Long An > Tín chấp > Bất động sản tại thừa 8, lô B2-2, Dự án bất động sản và bến tàu Đà Nẵng",numeric__Số cuối năm(VND) > 7.066.969.635 > 5.801.219.509 > 5.000.000.000 > 456.043.104,numeric__Ngày đáo hạn > Từ ngày 3 tháng 2 năm 2021 đến ngày 30 tháng 6 năm 2021 > Từ ngày 3 tháng 3 năm 2021 đến ngày 13 tháng 7 năm 2021 > Ngày 7 tháng 6 năm 2021 > Từ ngày 7 tháng 3 năm 2021 đến ngày 13 tháng 4 năm 2021,"numeric__Lãi suất > 11,53% > 8,2%/năm > Lãi suất áp dụng theo từng lần giải ngân > Từ 8,5%/năm đến 9,5%/năm","numeric__Tài sản đảm bảo(Thuyết minh số 13 và 15) > Tín chấp > Quyền sử dụng đất và tài sản gắn liền với đất tại thừa 5158, Xã Long Hậu, Huyện Cần Giuộc, Tĩnh Long An > Tín chấp > Bất động sản tại thừa 8, lô B2-2, Dự án bất động sản và bến tàu Đà Nẵng"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.806.641.423.790,,,,4806641423790.0,,,
24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,24.2 Vay ngắn hạn từ bên khác,,,,
Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,Tập đoàn sử dụng các khoản vay này nhằm đáp ứng nhu cầu vốn lưu động. Chi tiết như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm(VND),Ngày đáo hạn,Lãi suất(%/năm),Tài sản đảm bảo,,,,
Cá nhân,Bên cho vay > Cá nhân,Cá nhân,3.223.822.481,Ngày 23 tháng 6 năm 2021,"Từ 0%/năm đến 6,5%/năm",Tín chấp,3223822481.0,,,
