row_label_raw,row_label_full,col_0,VNDGiá trị,numeric__VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,61.896.518.318,61896518318.0
Giảm từ việc thay đổi tỷ lệ sở hữu trong công ty con,Nguyên giá > Giảm từ việc thay đổi tỷ lệ sở hữu trong công ty con,Giảm từ việc thay đổi tỷ lệ sở hữu trong công ty con,(3.414.055.822),-3414055822.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,58.482.462.496,58482462496.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(22.676.519.975),-22676519975.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(6.189.651.832),-6189651832.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(28.866.171.807),-28866171807.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.219.998.343,39219998343.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,29.616.290.689,29616290689.0
