row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thừa trong những năm trước,Năm nay > 20.623.825.692(68.356.091) > 20.555.469.601,VNDNăm trước > 102.166.885.139(711.552.292) > 101.455.332.847,numeric__Năm nay > 20.623.825.692(68.356.091) > 20.555.469.601,numeric__VNDNăm trước > 102.166.885.139(711.552.292) > 101.455.332.847
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,10.135.133.110,19.862.919.191,10135133110.0,19862919191.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,30.690.602.711,121.318.252.038,30690602711.0,121318252038.0
