row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,11.225.445.554.393,18.655.472.297.570,11225445554393.0,18655472297570.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,10.825.307.989.230,18.320.428.484.807,10825307989230.0,18320428484807.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,74.721.632.705,46.724.824.998,74721632705.0,46724824998.0
Doanh thu kinh doanh cơ sở hạ tầng,Trong đó: > Doanh thu kinh doanh cơ sở hạ tầng,Doanh thu kinh doanh cơ sở hạ tầng,81.206.997.371,49.060.578.958,81206997371.0,49060578958.0
"Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền","Trong đó: > Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền","Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền",12.651.337.952,71.686.936.017,12651337952.0,71686936017.0
Khác,Trong đó: > Khác,Khác,231.557.597.135,167.571.472.790,231557597135.0,167571472790.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(792.851.851),(45.735.383.817),-792851851.0,-45735383817.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,11.224.652.702.542,18.609.736.913.753,11224652702542.0,18609736913753.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng (*),Trong đó: > Doanh thu hợp đồng xây dựng (*),Doanh thu hợp đồng xây dựng (*),10.825.307.989.230,18.320.407.636.007,10825307989230.0,18320407636007.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,74.721.632.705,46.724.824.998,74721632705.0,46724824998.0
Doanh thu kinh doanh cơ sở hạ tầng,Trong đó: > Doanh thu kinh doanh cơ sở hạ tầng,Doanh thu kinh doanh cơ sở hạ tầng,81.206.997.371,49.060.578.958,81206997371.0,49060578958.0
"Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền","Trong đó: > Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền","Doanh thu chuyển nhượng bất động sản, căn hộ và đất nền",12.651.337.952,25.972.401.000,12651337952.0,25972401000.0
Khác,Trong đó: > Khác,Khác,230.764.745.284,167.571.472.790,230764745284.0,167571472790.0
