row_label_raw,row_label_full,Ông Võ Minh Hoàng,Thành viên Hội đồng quản trị,Mượn tiền,1.479.621.700,-,numeric__Thành viên Hội đồng quản trị,numeric__Mượn tiền,numeric__1.479.621.700,numeric__-
Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),,,,
Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Phải trả dài hạn khác (Thuyết minh số 23) > Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Công ty TNHH Tiến Phát Đông Bắc (Thuyết minh số 4.2),Công ty liên kết trước khi thành công ty con,Đặt cọc,-,1.208.327.400,,,,1208327400.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải trả dài hạn khác (Thuyết minh số 23) > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Đặt cọc,-,300.234.000,,,,300234000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 23) > TỔNG CỘNG,TỔNG CỘNG,,,-,1.508.561.400,,,,1508561400.0
