row_label_raw,row_label_full,col_0,"VNDNhà cửa, vật kiến trúc","numeric__VNDNhà cửa, vật kiến trúc"
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,40.344.022.866,40344022866.0
Xây dựng mới,Nguyên giá > Xây dựng mới,Xây dựng mới,247.164.185,247164185.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,40.591.187.051,40591187051.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(3.946.691.386),-3946691386.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(2.943.077.007),-2943077007.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(6.889.768.393),-6889768393.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,36.397.331.480,36397331480.0
Số cuối năm (*),Giá trị còn lại > Số cuối năm (*),Số cuối năm (*),33.701.418.658,33701418658.0
