row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.960.749.770.000,30.494.112.981,57.934.418,96.593.759.328,627.792.159.402,207.139.813.195,2.922.827.549.324,1960749770000.0,30494112981.0,57934418.0,96593759328.0,627792159402.0,207139813195.0,2922827549324.0
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,98.004.210.000,-,-,-,(98.004.210.000),-,-,98004210000.0,,,,-98004210000.0,,
Phát hành thêm cổ phiếu,Năm trước > Phát hành thêm cổ phiếu,Phát hành thêm cổ phiếu,250.000.000.000,325.000.000.000,-,-,-,-,575.000.000.000,250000000000.0,325000000000.0,,,,,575000000000.0
Chi phí phát hành cổ phiếu,Năm trước > Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(8.825.000.000),-,-,-,-,(8.825.000.000),,-8825000000.0,,,,,-8825000000.0
Tăng vốn trong năm,Năm trước > Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,2.050.000.000,2.050.000.000,,,,,,2050000000.0,2050000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,416.755.001.640,(11.173.623.845),405.581.377.795,,,,,416755001640.0,-11173623845.0,405581377795.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,-,(58.822.493.100),(322.733.242),(59.145.226.342),,,,,-58822493100.0,-322733242.0,-59145226342.0
Trích lập các quỹ,Năm trước > Trích lập các quỹ,Trích lập các quỹ,-,-,-,119.892.796,(119.892.796),-,-,,,,119892796.0,-119892796.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(39.504.268.658),-,(39.504.268.658),,,,,-39504268658.0,,-39504268658.0
Thường ban điều hành và cán bộ trọng yếu,Năm trước > Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,-,-,-,-,(12.442.047.972),-,(12.442.047.972),,,,,-12442047972.0,,-12442047972.0
Mua mới công ty con,Năm trước > Mua mới công ty con,Mua mới công ty con,-,-,-,-,-,174.221.247.116,174.221.247.116,,,,,,174221247116.0,174221247116.0
Khác,Năm trước > Khác,Khác,-,-,92.096,-,-,-,92.096,,,92096.0,,,,92096.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,58.026.514,96.713.652.124,835.654.248.516,371.914.703.224,3.959.763.723.359,2308753980000.0,346669112981.0,58026514.0,96713652124.0,835654248516.0,371914703224.0,3959763723359.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,58.026.514,96.713.652.124,835.654.248.516,371.914.703.224,3.959.763.723.359,2308753980000.0,346669112981.0,58026514.0,96713652124.0,835654248516.0,371914703224.0,3959763723359.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,86.319.060.446,(2.647.432.523),83.671.627.923,,,,,86319060446.0,-2647432523.0,83671627923.0
Cổ tức đã công bố,Năm nay > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,-,(69.262.619.400),(242.026.456),(69.504.645.856),,,,,-69262619400.0,-242026456.0,-69504645856.0
Trích lập các quỹ,Năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,-,93.990.176,(93.990.176),-,-,,,,93990176.0,-93990176.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(7.838.810.369),-,(7.838.810.369),,,,,-7838810369.0,,-7838810369.0
Thay đổi tỷ lệ sở hữu trong năm,Năm nay > Thay đổi tỷ lệ sở hữu trong năm,Thay đổi tỷ lệ sở hữu trong năm,-,-,-,-,1.580.840.988,180.353.432.047,181.934.273.035,,,,,1580840988.0,180353432047.0,181934273035.0
Khác,Năm nay > Khác,Khác,-,-,(1.581.415),-,-,-,(1.581.415),,,-1581415.0,,,,-1581415.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,56.445.099,96.807.642.300,846.358.730.005,549.378.676.292,4.148.024.586.677,2308753980000.0,346669112981.0,56445099.0,96807642300.0,846358730005.0,549378676292.0,4148024586677.0
