row_label_raw,row_label_full,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,25.265.822.220,61.787.260.209,numeric__Công ty liên kết,numeric__Chi phíthầu phụ,numeric__25.265.822.220,numeric__61.787.260.209
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,24.479.276.508,155.084.373.237,,,24479276508.0,155084373237.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phíthầu phụ,-,319.613.673,,,,319613673.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,49.745.098.728,217.191.247.119,,,49745098728.0,217191247119.0
