row_label_raw,row_label_full,col_0,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Vận hành Vincom Retail,Các công ty con > Công ty TNHH Vận hành Vincom Retail,Công ty TNHH Vận hành Vincom Retail,1.764,11.912,1764.0,11912.0
Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,Các công ty con > Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa,45,-,45.0,
Công ty TNHH Vincom Retail Landmark 81,Các công ty con > Công ty TNHH Vincom Retail Landmark 81,Công ty TNHH Vincom Retail Landmark 81,86,-,86.0,
Công ty Cổ phần Đầu tư Vincom Retail,Các công ty con > Công ty Cổ phần Đầu tư Vincom Retail,Công ty Cổ phần Đầu tư Vincom Retail,86,-,86.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Vinpearl,Các bên liên quan khác > Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,2.353,-,2353.0,
Công ty Cổ phần Phát triển Thành phố Xanh,Các bên liên quan khác > Công ty Cổ phần Phát triển Thành phố Xanh,Công ty Cổ phần Phát triển Thành phố Xanh,-,5.584,,5584.0
Các công ty liên quan khác,Các bên liên quan khác > Các công ty liên quan khác,Các công ty liên quan khác,1.955,2.071,1955.0,2071.0
,,,6.289,19.567,6289.0,19567.0
