row_label_raw,row_label_full,col_0,2023Triệu VND,2022Triệu VND,numeric__2023Triệu VND,numeric__2022Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,33.776,667.777,33776.0,667777.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,11.373,13.092,11373.0,13092.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(14.031),-,-14031.0,
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.307),(501.353),-2307.0,-501353.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(78),-,-78.0,
Giảm khác,Giảm khác,Giảm khác,(10.361),-,-10361.0,
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(71.190),,-71190.0
Chuyển nhượng dự án,Chuyển nhượng dự án,Chuyển nhượng dự án,-,(40.118),,-40118.0
Giảm do quyết toán,Giảm do quyết toán,Giảm do quyết toán,-,(34.432),,-34432.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,18.372,33.776,18372.0,33776.0
