row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,226,16.252,5.708,22.186,226.0,16252.0,5708.0,22186.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,868,-,868,,868.0,,868.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,78,-,78,,78.0,,78.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(64),-,(64),,-64.0,,-64.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,226,17.134,5.708,23.068,226.0,17134.0,5708.0,23068.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,226,9.923,2.204,12.353,226.0,9923.0,2204.0,12353.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.393,1.291,3.684,,2393.0,1291.0,3684.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(64),-,(64),,-64.0,,-64.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,226,12.252,3.495,15.973,226.0,12252.0,3495.0,15973.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,6.329,3.504,9.833,,6329.0,3504.0,9833.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,4.882,2.213,7.095,,4882.0,2213.0,7095.0
