row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 Triệu VND,2022 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023 Triệu VND,numeric__2022 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,2.137.305,2.176.149,1.0,27.0,2137305.0,2176149.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,-,-,2.0,27.0,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,27,2.137.305,2.176.149,10.0,27.0,2137305.0,2176149.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,28,1.145.605,1.422.049,11.0,28.0,1145605.0,1422049.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,991.700,754.100,20.0,,991700.0,754100.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,462.330,356.604,21.0,29.0,462330.0,356604.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,293.342,333.504,22.0,30.0,293342.0,333504.0
Trong đó: Chi phí lãi vay và chi phí phát hành,Trong đó: Chi phí lãi vay và chi phí phát hành,Trong đó: Chi phí lãi vay và chi phí phát hành,23,,293.342,333.504,23.0,,293342.0,333504.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,54.170,72.251,25.0,31.0,54170.0,72251.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,32,76.575,67.693,26.0,32.0,76575.0,67693.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,1.029.943,637.256,30.0,,1029943.0,637256.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,35.211,7.343,31.0,,35211.0,7343.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,8.863,4.698,32.0,,8863.0,4698.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,26.348,2.645,40.0,,26348.0,2645.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,1.056.291,639.901,50.0,,1056291.0,639901.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,197.987,151.323,51.0,34.0,197987.0,151323.0
Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,52,34,6.566,(15.269),52.0,34.0,6566.0,-15269.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,851.738,503.847,60.0,,851738.0,503847.0
