row_label_raw,row_label_full,col_0,2023Triệu VND,2022Triệu VND,numeric__2023Triệu VND,numeric__2022Triệu VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.056.291,639.901,1056291.0,639901.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,211.258,127.980,211258.0,127980.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,6.489,955,6489.0,955.0
Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,(13.194),(5.644),-13194.0,-5644.0
Bổ sung chi phí thuế thu nhập doanh nghiệp,Bổ sung chi phí thuế thu nhập doanh nghiệp,Bổ sung chi phí thuế thu nhập doanh nghiệp,-,12.763,,12763.0
,,,204.553,136.054,204553.0,136054.0
