row_label_raw,row_label_full,col_0,Doanh thu chuyển nhượng bất động sản,Doanh thu môi giới bất động sản,Doanh thu cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Doanh thu chuyển nhượng bất động sản,numeric__Doanh thu môi giới bất động sản,numeric__Doanh thu cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.933.778.807.450,1.402.336.389.805,139.599.024.672,3.475.714.221.927,1933778807450.0,1402336389805.0,139599024672.0,3475714221927.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.494.758.194.283,1.065.533.348.127,70.048.211.546,2.630.339.753.956,1494758194283.0,1065533348127.0,70048211546.0,2630339753956.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,439.020.613.167,336.803.041.678,69.550.813.126,845.374.467.971,439020613167.0,336803041678.0,69550813126.0,845374467971.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,46.313.334.935,,,,46313334935.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.874.132.665.973,2.146.617.818.878,102.473.235.985,5.123.223.720.836,2874132665973.0,2146617818878.0,102473235985.0,5123223720836.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,2.493.848.730.378,,,,2493848730378.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.874.132.665.973,2.146.617.818.878,102.473.235.985,7.617.072.451.214,2874132665973.0,2146617818878.0,102473235985.0,7617072451214.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,1.536.927.726.177,260.746.861.016,43.173.893.987,1.840.848.481.180,1536927726177.0,260746861016.0,43173893987.0,1840848481180.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,161.330.825.927,,,,161330825927.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.536.927.726.177,260.746.861.016,43.173.893.987,2.002.179.307.108,1536927726177.0,260746861016.0,43173893987.0,2002179307108.0
