row_label_raw,row_label_full,"- Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2022 > Giá gốcVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2022 > Giá trị có thể thuVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2022 > Giá gốcVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2022 > Giá trị có thể thu hồiVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2022 > Giá gốcVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2022 > Giá trị có thể thuVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2022 > Giá gốcVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2022 > Giá trị có thể thu hồiVND > - Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi"
+ Công ty Cổ phần Địa ốc Phú Long,+ Công ty Cổ phần Địa ốc Phú Long,+ Công ty Cổ phần Địa ốc Phú Long,1.470.000.000,-,1.470.000.000,-,1470000000.0,,1470000000.0,
+ Công ty Cổ phần Dịch vụ Bất động sản Sao Việt,+ Công ty Cổ phần Dịch vụ Bất động sản Sao Việt,+ Công ty Cổ phần Dịch vụ Bất động sản Sao Việt,55.378.595,-,55.378.595,-,55378595.0,,55378595.0,
+ Công ty Cổ phần Đầu tư Bảo Việt,+ Công ty Cổ phần Đầu tư Bảo Việt,+ Công ty Cổ phần Đầu tư Bảo Việt,45.898.815,-,45.898.815,-,45898815.0,,45898815.0,
+ Công ty Cổ phần XNK Tổng hợp Hà Nội,+ Công ty Cổ phần XNK Tổng hợp Hà Nội,+ Công ty Cổ phần XNK Tổng hợp Hà Nội,39.683.691,-,39.683.691,-,39683691.0,,39683691.0,
+ Công ty Cổ phần TID,+ Công ty Cổ phần TID,+ Công ty Cổ phần TID,343.870.941,-,343.870.941,-,343870941.0,,343870941.0,
+ Công ty TNHH Đầu tư và Phát triển Tây Hồ,+ Công ty TNHH Đầu tư và Phát triển Tây Hồ,+ Công ty TNHH Đầu tư và Phát triển Tây Hồ,106.244.294,-,106.244.294,-,106244294.0,,106244294.0,
+ Công ty Cổ phần Bất động sản Thăng Long,+ Công ty Cổ phần Bất động sản Thăng Long,+ Công ty Cổ phần Bất động sản Thăng Long,60.615.000,-,60.615.000,-,60615000.0,,60615000.0,
+ Công ty TNHH Giải pháp và Công nghệ An Thịnh,+ Công ty TNHH Giải pháp và Công nghệ An Thịnh,+ Công ty TNHH Giải pháp và Công nghệ An Thịnh,384.300.000,-,384.300.000,-,384300000.0,,384300000.0,
+ Công ty TNHH Địa ốc Gia Phú,+ Công ty TNHH Địa ốc Gia Phú,+ Công ty TNHH Địa ốc Gia Phú,5.391.000.324,-,5.391.000.324,-,5391000324.0,,5391000324.0,
+ Công ty Cổ phần Đầu tư và Dịch vụ Khách sạn Soleil,+ Công ty Cổ phần Đầu tư và Dịch vụ Khách sạn Soleil,+ Công ty Cổ phần Đầu tư và Dịch vụ Khách sạn Soleil,22.550.000.000,-,-,-,22550000000.0,,,
+ Công ty Cổ phần Tập đoạn Phúc Sơn,+ Công ty Cổ phần Tập đoạn Phúc Sơn,+ Công ty Cổ phần Tập đoạn Phúc Sơn,22.373.972.812,11.186.986.406,-,-,22373972812.0,11186986406.0,,
+ Công ty Cổ phần EMPIRE PROPERTY,+ Công ty Cổ phần EMPIRE PROPERTY,+ Công ty Cổ phần EMPIRE PROPERTY,1.147.024.316,-,-,-,1147024316.0,,,
+ Công ty Cổ phần Tập đoàn Phúc Sơn,+ Công ty Cổ phần Tập đoàn Phúc Sơn,+ Công ty Cổ phần Tập đoàn Phúc Sơn,3.727.756.578,-,-,-,3727756578.0,,,
+ Công ty Cổ phần TMS Bất động sản,+ Công ty Cổ phần TMS Bất động sản,+ Công ty Cổ phần TMS Bất động sản,179.901.920,-,-,-,179901920.0,,,
+ Công ty TNHH Đầu tư và Phát triển Lê Phong,+ Công ty TNHH Đầu tư và Phát triển Lê Phong,+ Công ty TNHH Đầu tư và Phát triển Lê Phong,47.031.165.300,-,47.031.165.300,-,47031165300.0,,47031165300.0,
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,2.579.630.852,943.723.977,177.055.340,-,2579630852.0,943723977.0,177055340.0,
,,,107.486.443.438,12.130.710.383,55.105.212.300,-,107486443438.0,12130710383.0,55105212300.0,
