row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân > Ngân hàng Thương mại Cổ phần Công thương Việt Nam (1) > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (2),Loại tiền > VND,"Lãi suất năm > 7% đến 7,5% > 8,5% đến 10,5% > 7,1% đến 9,2%",Hình thức đảm bảo > Tài sản,31/12/2022 > VND > - > 21.781.676.199 > 358.357.176.161,01/01/2022 > VND > 9.187.596.076 > 64.732.200.927 > 435.378.747.772,numeric__Loại tiền > VND,"numeric__Lãi suất năm > 7% đến 7,5% > 8,5% đến 10,5% > 7,1% đến 9,2%",numeric__Hình thức đảm bảo > Tài sản,numeric__31/12/2022 > VND > - > 21.781.676.199 > 358.357.176.161,numeric__01/01/2022 > VND > 9.187.596.076 > 64.732.200.927 > 435.378.747.772
Ngân hàng Thương mại Cổ phần Quản Đội - Chi nhánh Đống Đa (3),Ngân hàng Thương mại Cổ phần Quản Đội - Chi nhánh Đống Đa (3),Ngân hàng Thương mại Cổ phần Quản Đội - Chi nhánh Đống Đa (3),VND,"9,90%",Tài sản,9.877.348.394,-,,0.099,,9877348394.0,
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (4),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (4),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (4),VND,"8,4% đến 10%",Tài sản,94.979.683.208,179.510.430.000,,,,94979683208.0,179510430000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (5),VND,"4,80%",Tiền gửi,60.000.000.000,60.000.000.000,,0.048,,60000000000.0,60000000000.0
Công ty Cổ phần Bất động sản Galaxy Land,Công ty Cổ phần Bất động sản Galaxy Land,Công ty Cổ phần Bất động sản Galaxy Land,VND,0%,Tín chấp,-,12.000.000.000,,0.0,,,12000000000.0
,,,,,,544.995.883.962,760.808.974.775,,,,544995883962.0,760808974775.0
