row_label_raw,row_label_full,Đối tượng > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ > Công ty Cổ phần Dịch vụ và Đầu tư Trustlink > Công ty Cổ phần CONSGROUP > Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,"Hợp đồng cho vay > Hợp đồng vay số 30/09/2021/HDVV, ký ngày 30 tháng 09 năm > Hợp đồng vay vốn số 1001/HĐCV/CHS-CIV > Hợp đồng vay số 31/12/2022/HDVV, ký ngày 27 tháng 01 năm 2022 > 2312/2022/HĐVTS/TL-CRE > 001/2022/HĐVV/CRE-COG > Hợp đồng vay vốn số 1012/2020/HĐV/CEN-DAINAMSON",Thời điểm bắt đầu cho vay > 30/09/21 > 10/01/21 > 27/01/22 > 11%/năm > 11/12/20,"Mục đích vay > Vay vốn hoạt động kinh doanh > Bổ sung vốn cho hoạt động kinh doanh > Sử dụng vào mục đích đầu tư, kinh doanh > Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2 > Vay vốn hoạt động kinh doanh","Hình thức bảo đảm và kỳ hạn, lãi suất > Tín chấp - kỳ hạn 12 tháng, lãi suất 5%/ năm > Tín chấp - kỳ hạn 12 tháng, lãi suất 9%/ năm > Kỳ hạn: 12 tháng Lãi suất: 5%/năm > Tín chấp - kỳ hạn 12 tháng, lãi suất 11%/ năm > Tín chấp - kỳ hạn 6 tháng, lãi suất 11%/ năm > Tín chấp - kỳ hạn 20 ngày lãi suất 20%/năm",31/12/2022 > 57.000.000.000 > - > 16.500.000.000 > 351.943.000.000 > 39.000.000.000 > 3.760.700.000,01/01/2022 > 57.000.000.000 > 13.000.000.000 > - > 3.760.700.000,"numeric__Hợp đồng cho vay > Hợp đồng vay số 30/09/2021/HDVV, ký ngày 30 tháng 09 năm > Hợp đồng vay vốn số 1001/HĐCV/CHS-CIV > Hợp đồng vay số 31/12/2022/HDVV, ký ngày 27 tháng 01 năm 2022 > 2312/2022/HĐVTS/TL-CRE > 001/2022/HĐVV/CRE-COG > Hợp đồng vay vốn số 1012/2020/HĐV/CEN-DAINAMSON",numeric__Thời điểm bắt đầu cho vay > 30/09/21 > 10/01/21 > 27/01/22 > 11%/năm > 11/12/20,"numeric__Mục đích vay > Vay vốn hoạt động kinh doanh > Bổ sung vốn cho hoạt động kinh doanh > Sử dụng vào mục đích đầu tư, kinh doanh > Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2 > Vay vốn hoạt động kinh doanh","numeric__Hình thức bảo đảm và kỳ hạn, lãi suất > Tín chấp - kỳ hạn 12 tháng, lãi suất 5%/ năm > Tín chấp - kỳ hạn 12 tháng, lãi suất 9%/ năm > Kỳ hạn: 12 tháng Lãi suất: 5%/năm > Tín chấp - kỳ hạn 12 tháng, lãi suất 11%/ năm > Tín chấp - kỳ hạn 6 tháng, lãi suất 11%/ năm > Tín chấp - kỳ hạn 20 ngày lãi suất 20%/năm",numeric__31/12/2022 > 57.000.000.000 > - > 16.500.000.000 > 351.943.000.000 > 39.000.000.000 > 3.760.700.000,numeric__01/01/2022 > 57.000.000.000 > 13.000.000.000 > - > 3.760.700.000
,,,,,,,618.203.700.000,103.760.700.000,,,,,618203700000.0,103760700000.0
Chi tiết thông tin về các khoản cho vay dài hạn như sau: Đối tượng,Chi tiết thông tin về các khoản cho vay dài hạn như sau: Đối tượng,Chi tiết thông tin về các khoản cho vay dài hạn như sau: Đối tượng,Hợp đồng cho vay,Thời điểm bắt đầu cho vay,Mục đích vay,"Hình thức bảo đảm và kỳ hạn, lãi suất",31/12/2022,01/01/2022,,,,,,
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Chi tiết thông tin về các khoản cho vay dài hạn như sau: Đối tượng > Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Hợp đồng vay tài sản số 28012022-01/HĐVTS/TL-CRE,28/01/22,"Sử dụng vào mục đích đầu tư, kinh doanh",Tín chấp - kỳ hạn 36 tháng - lãi suất 11%/năm,-,281.200.000.000,,,,,,281200000000.0
,,,,,,,-,281.200.000.000,,,,,,281200000000.0
