row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất,Phần mềm,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất,numeric__Phần mềm,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.995.200.171,147.103.176.769,374.727.273,159.473.104.213,11995200171.0,147103176769.0,374727273.0,159473104213.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,15.226.739.000,-,15.226.739.000,,15226739000.0,,15226739000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.995.200.171,162.329.915.769,374.727.273,174.699.843.213,11995200171.0,162329915769.0,374727273.0,174699843213.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,64.732.559.702,374.727.273,65.107.286.975,,64732559702.0,374727273.0,65107286975.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,33.421.102.384,-,33.421.102.384,,33421102384.0,,33421102384.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,98.153.662.086,374.727.273,98.528.389.359,,98153662086.0,374727273.0,98528389359.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.995.200.171,82.370.617.067,-,94.365.817.238,11995200171.0,82370617067.0,,94365817238.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.995.200.171,64.176.253.683,-,76.171.453.854,11995200171.0,64176253683.0,,76171453854.0
