row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,800.000.000.000,150.000.000.000,45.243.750.000,(1.080.000),69.420.028.780,950.113.944.684,29.521.213.590,2.044.297.857.054,800000000000.0,150000000000.0,45243750000.0,-1080000.0,69420028780.0,950113944684.0,29521213590.0,2044297857054.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,959.998.000.000,-,-,-,-,-,1.320.000.000,961.318.000.000,959998000000.0,,,,,,1320000000.0,961318000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,457.982.515.200,(7.526.190.894),450.456.324.306,,,,,,457982515200.0,-7526190894.0,450456324306.0
Phân phối lợi nhuận tại Công ty mẹ,Phân phối lợi nhuận tại Công ty mẹ,Phân phối lợi nhuận tại Công ty mẹ,159.999.080.000,-,-,-,24.596.642.177,(201.813.371.702),-,(17.217.649.525),159999080000.0,,,,24596642177.0,-201813371702.0,,-17217649525.0
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,-,-,-,-,24.596.642.177,(24.596.642.177),-,-,,,,,24596642177.0,-24596642177.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(12.298.321.089),-,(12.298.321.089),,,,,,-12298321089.0,,-12298321089.0
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,(4.919.328.436),-,(4.919.328.436),,,,,,-4919328436.0,,-4919328436.0
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,159.999.080.000,-,-,-,-,(159.999.080.000),-,-,159999080000.0,,,,,-159999080000.0,,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,95.998.490.000,-,-,-,-,(95.998.490.000),-,-,95998490000.0,,,,,-95998490000.0,,
Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,-,-,-,-,5.076.837.987,(8.630.624.577),(1.214.524.086),(4.768.310.676),,,,,5076837987.0,-8630624577.0,-1214524086.0,-4768310676.0
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,,,,,5.076.837.987,(5.076.837.987),(714.425.933),(714.425.933),,,,,5076837987.0,-5076837987.0,-714425933.0,-714425933.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",,,,,-,(3.553.786.590),(500.098.153),(4.053.884.743),,,,,,-3553786590.0,-500098153.0,-4053884743.0
Truy thu thuế theo kết luận thanh tra thuế,Truy thu thuế theo kết luận thanh tra thuế,Truy thu thuế theo kết luận thanh tra thuế,-,-,-,-,-,(528.542.454),-,(528.542.454),,,,,,-528542454.0,,-528542454.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(200.550.000),8.881.250.000,-,880.917.969,(9.781.880.271),4.994.991.062,4.774.728.760,,-200550000.0,8881250000.0,,880917969.0,-9781880271.0,4994991062.0,4774728760.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.015.995.570.000,149.799.450.000,54.125.000.000,(1.080.000),99.974.426.913,1.091.343.550.880,27.095.489.672,3.438.332.407.465,2015995570000.0,149799450000.0,54125000000.0,-1080000.0,99974426913.0,1091343550880.0,27095489672.0,3438332407465.0
