row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy móc thiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,TSCĐ khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy móc thiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__TSCĐ khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.078.136,1.763.719,549.861,161.955,6.553.671,4078136.0,1763719.0,549861.0,161955.0,6553671.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,4.342,49.953,6.788,28.447,89.530,4342.0,49953.0,6788.0,28447.0,89530.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,-,3.932,-,-,3.932,,3932.0,,,3932.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sảmtài sản cố định (Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sảmtài sản cố định (Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản và mua sảmtài sản cố định (Thuyết minh số 16.1),102.004,115.661,8.960,803,227.428,102004.0,115661.0,8960.0,803.0,227428.0
Kết chuyển từ tài sản nhận cán trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cán trừ nợ,Kết chuyển từ tài sản nhận cán trừ nợ,12.710,-,-,-,12.710,12710.0,,,,12710.0
Chuyển từ tài sản thuê tài chính (Thuyết minh số 15.2),Nguyên giá > Chuyển từ tài sản thuê tài chính (Thuyết minh số 15.2),Chuyển từ tài sản thuê tài chính (Thuyết minh số 15.2),-,-,596,-,596,,,596.0,,596.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(763),763,-,-,,-763.0,763.0,,
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,306,306,,,,306.0,306.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.876),(10.782),(1.384),(3.078),(36.120),-20876.0,-10782.0,-1384.0,-3078.0,-36120.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,4.132,284,224,266,4.906,4132.0,284.0,224.0,266.0,4906.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.180.448,1.922.004,565.808,188.699,6.856.959,4180448.0,1922004.0,565808.0,188699.0,6856959.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,600.041,1.092.789,254.517,75.888,2.023.235,600041.0,1092789.0,254517.0,75888.0,2023235.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,113.821,167.445,45.466,15.375,342.107,113821.0,167445.0,45466.0,15375.0,342107.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị khấu hao lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.894,-,-,3.894,,3894.0,,,3894.0
Chuyển từ tài sản thuê tài chính(Thuyết minh số 15.2),Giá trị khấu hao lũy kế > Chuyển từ tài sản thuê tài chính(Thuyết minh số 15.2),Chuyển từ tài sản thuê tài chính(Thuyết minh số 15.2),-,-,596,-,596,,,596.0,,596.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(746),746,-,-,,-746.0,746.0,,
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.263),(8.867),(1.191),(2.347),(18.668),-6263.0,-8867.0,-1191.0,-2347.0,-18668.0
Tăng khác,Giá trị khấu hao lũy kế > Tăng khác,Tăng khác,-,-,-,306,306,,,,306.0,306.0
Chênh lệch đánh giá lại tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,1.013,253,166,247,1.679,1013.0,253.0,166.0,247.0,1679.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,708.612,1.254.768,300.300,89.469,2.353.149,708612.0,1254768.0,300300.0,89469.0,2353149.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.478.095,670.930,295.344,86.067,4.530.436,3478095.0,670930.0,295344.0,86067.0,4530436.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.471.836,667.236,265.508,99.230,4.503.810,3471836.0,667236.0,265508.0,99230.0,4503810.0
