row_label_raw,row_label_full,col_0,Phương tiệnvận chuyểnTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,596,596.0
Tăng khác,Tăng khác,Tăng khác,-,
Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),Tăng khác > Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),(596),-596.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,526,526.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,70,70.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),Giá trị khấu hao lũy kế > Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),Chuyển sang tài sản cố định hữu hình (Thuyết minh số 15.1),(596),-596.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,70,70.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,
