row_label_raw,row_label_full,Số dư đầu năm > Trích lập quỹ trong năm (Thuyết minh số 23.1) > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Năm nayTriệu đồng > 77.637 > 14.428 > -,Năm trướcTriệu đồng > 62.166 > 288.043 > 525,numeric__Năm nayTriệu đồng > 77.637 > 14.428 > -,numeric__Năm trướcTriệu đồng > 62.166 > 288.043 > 525
Tăng khác,Tăng khác,Tăng khác,2,73,2.0,73.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(66.277),(273.170),-66277.0,-273170.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,25.790,77.637,25790.0,77637.0
