row_label_raw,row_label_full,Số dư đầu năm,Năm nayTriệu đồng > 303.301,Năm trướcTriệu đồng > 136.236,numeric__Năm nayTriệu đồng > 303.301,numeric__Năm trướcTriệu đồng > 136.236
Tăng do sáp nhập,Tăng do sáp nhập,Tăng do sáp nhập,-,10.638,,10638.0
Trích lập trong năm (Thuyết minh số 33),Trích lập trong năm (Thuyết minh số 33),Trích lập trong năm (Thuyết minh số 33),56.935,156.427,56935.0,156427.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,360.236,303.301,360236.0,303301.0
