row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên3 thángTriệu đồng,Đến3 thángTriệu đồng,Đến1 thángTriệu đồng,Từ 1 đến3 thángTriệu đồng,Từ 3 đến12 thángTriệu đồng,Từ 1 đến5 nămTriệu đồng,Trên5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,5.872.975,-,-,-,-,5.872.975,,,5872975.0,,,,,5872975.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.954.312,-,-,-,-,8.954.312,,,8954312.0,,,,,8954312.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,552,-,2.229.276,170.868,84.192,-,-,2.484.888,552.0,,2229276.0,170868.0,84192.0,,,2484888.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,105.624,-,-,-,105.624,,,,105624.0,,,,105624.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,15.422,-,-,-,-,15.422,,,15422.0,,,,,15422.0
Cho vay và cho thuê tài chính khách hàng - gộp,Tài sản > Cho vay và cho thuê tài chính khách hàng - gộp,Cho vay và cho thuê tài chính khách hàng - gộp,2.994.442,1.669.674,8.343.890,17.434.604,50.114.253,75.834.082,42.468.720,198.859.665,2994442.0,1669674.0,8343890.0,17434604.0,50114253.0,75834082.0,42468720.0,198859665.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,-,-,-,757.528,757.528,,,,,,,757528.0,757528.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,27.221.580,467.352,891.062,38.300.913,554,66.881.461,,,27221580.0,467352.0,891062.0,38300913.0,554.0,66881461.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,880.575,880.575,,,,,,,880575.0,880575.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,7.364,922,20.462,531.084,7.389.534,7.949.366,,,7364.0,922.0,20462.0,531084.0,7389534.0,7949366.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.193.301,-,5.308.369,817.965,2.179.251,10.368.444,24.691.040,44.558.370,1193301.0,,5308369.0,817965.0,2179251.0,10368444.0,24691040.0,44558370.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.188.295,1.669.674,57.953.188,18.997.335,53.289.220,125.034.523,76.187.951,337.320.186,4188295.0,1669674.0,57953188.0,18997335.0,53289220.0,125034523.0,76187951.0,337320186.0
