row_label_raw,row_label_full,Tiền gửi tại NHNN Việt Nam,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
- Bằng VND,- Bằng VND,- Bằng VND,7.267.614,5.830.836,7267614.0,5830836.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,726.644,963.335,726644.0,963335.0
Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,Tiền gửi tại Ngân hàng Quốc gia(“NHQG”) Campuchia,667.685,397.993,667685.0,397993.0
Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,Tiền gửi tại Ngân hàng Trung ương(“NHTW”) Lào,292.369,305.103,292369.0,305103.0
,,,8.954.312,7.497.267,8954312.0,7497267.0
