row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất,Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,Năm nay Triệu đồng,Năm trước Triệu đồng,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Dự phòng đầu tư chứng khoán và các tài sản có khác,Tài sản thuế TNDN hoãn lại > Dự phòng đầu tư chứng khoán và các tài sản có khác,Dự phòng đầu tư chứng khoán và các tài sản có khác,106.316,94.588,10.605,35.012,106316.0,94588.0,10605.0,35012.0
Dự phòng trợ cấp thời việc,Tài sản thuế TNDN hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,-,-,-,(1.031),,,,-1031.0
,,,106.316,94.588,,,106316.0,94588.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,,,,,
Chênh lệch chi phí khấu hao,Thuế TNDN hoãn lại phải trả > Chênh lệch chi phí khấu hao,Chênh lệch chi phí khấu hao,(399),-,(395),-,-399.0,,-395.0,
Lỗ lũy kế công ty con và các tài sản có khác,Thuế TNDN hoãn lại phải trả > Lỗ lũy kế công ty con và các tài sản có khác,Lỗ lũy kế công ty con và các tài sản có khác,(23.020),(21.359),(1.661),(21.359),-23020.0,-21359.0,-1661.0,-21359.0
,,,(23.419),(21.359),,,-23419.0,-21359.0,,
Thu nhập thuế TNDN hoãn lại thuần,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại thuần,Thu nhập thuế TNDN hoãn lại thuần,,,8.549,12.622,,,8549.0,12622.0
