row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.350.406,738.349,484,4.089.239,3350406.0,738349.0,484.0,4089239.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,-,5.753,-,5.753,,5753.0,,5753.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,166,-,-,166,166.0,,,166.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),41.430,57.005,-,98.435,41430.0,57005.0,,98435.0
Kết chuyển từ tài sản nhận cán trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cán trừ nợ,Kết chuyển từ tài sản nhận cán trừ nợ,151.900,-,-,151.900,151900.0,,,151900.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(149.435),-,-,(149.435),-149435.0,,,-149435.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,487,195,-,682,487.0,195.0,,682.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.394.954,801.302,484,4.196.740,3394954.0,801302.0,484.0,4196740.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,117.541,534.145,340,652.026,117541.0,534145.0,340.0,652026.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,25.100,73.796,67,98.963,25100.0,73796.0,67.0,98963.0
Chênh lệch đánh giá lại tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,-,195,-,195,,195.0,,195.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,142.641,608.136,407,751.184,142641.0,608136.0,407.0,751184.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.232.865,204.204,144,3.437.213,3232865.0,204204.0,144.0,3437213.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.252.313,193.166,77,3.445.556,3252313.0,193166.0,77.0,3445556.0
