row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",85.344,1.351.877,161.974,375.069,1.974.264,85344.0,1351877.0,161974.0,375069.0,1974264.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1.469.434,-,217.264,1.686.698,,1469434.0,,217264.0,1686698.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,204.085,782.771,-,265.963,1.252.819,204085.0,782771.0,,265963.0,1252819.0
Cho vay và cho thuê tài chính khách hàng - gộp,Tài sản > Cho vay và cho thuê tài chính khách hàng - gộp,Cho vay và cho thuê tài chính khách hàng - gộp,-,10.571.591,402.324,1.424.522,12.398.437,,10571591.0,402324.0,1424522.0,12398437.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,757.528,-,-,757.528,,757528.0,,,757528.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,554,-,-,554,,554.0,,,554.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,34.781,-,304.041,338.822,,34781.0,,304041.0,338822.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,62,225.918,72.821,42.067,340.868,62.0,225918.0,72821.0,42067.0,340868.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,289.491,15.194.454,637.119,2.628.926,18.749.990,289491.0,15194454.0,637119.0,2628926.0,18749990.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,9,2.532.784,-,140.338,2.673.131,9.0,2532784.0,,140338.0,2673131.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,260.059,9.909.526,5.852,1.145.148,11.320.585,260059.0,9909526.0,5852.0,1145148.0,11320585.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,16.291,455.499,-,197.644,669.434,16291.0,455499.0,,197644.0,669434.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro",-,1.107.950,-,45.723,1.153.673,,1107950.0,,45723.0,1153673.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,4,-,-,4,,4.0,,,4.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,19.017,247.227,-,40.241,306.485,19017.0,247227.0,,40241.0,306485.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,295.376,14.252.990,5.852,1.569.094,16.123.312,295376.0,14252990.0,5852.0,1569094.0,16123312.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(5.885),941.464,631.267,1.059.832,2.626.678,-5885.0,941464.0,631267.0,1059832.0,2626678.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,5.835,(118.453),(150.609),24.602,(238.625),5835.0,-118453.0,-150609.0,24602.0,-238625.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(50),823.011,480.658,1.084.434,2.388.053,-50.0,823011.0,480658.0,1084434.0,2388053.0
