row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchiụ lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Đến1 thángTriệu đồng,Từ 1 đến3 thángTriệu đồng,Từ 3 đến6 thángTriệu đồng,Từ 6 đến12 thángTriệu đồng,Từ 1 đến5 nămTriệu đồng,Trên5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,5.872.975,-,-,-,-,-,-,5.872.975,,5872975.0,,,,,,,5872975.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,292.370,8.661.942,-,-,-,-,-,8.954.312,,292370.0,8661942.0,,,,,,8954312.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,552,-,2.229.276,170.868,84.192,-,-,-,2.484.888,552.0,,2229276.0,170868.0,84192.0,,,,2484888.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,105.624,-,-,-,-,-,-,105.624,,105624.0,,,,,,,105624.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,15.422,-,-,-,-,-,-,15.422,,15422.0,,,,,,,15422.0
Cho vay và cho thuê tài chính khách hàng - gộp,Tài sản > Cho vay và cho thuê tài chính khách hàng - gộp,Cho vay và cho thuê tài chính khách hàng - gộp,4.664.116,20.055.573,62.324.256,105.573.892,896.892,1.205.745,3.156.587,982.604,198.859.665,4664116.0,20055573.0,62324256.0,105573892.0,896892.0,1205745.0,3156587.0,982604.0,198859665.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,757.528,-,-,-,-,757.528,,,,757528.0,,,,,757528.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,37.668.494,1.251.013,1.833.231,2.408.621,1.960.190,21.709.151,50.761,66.881.461,,37668494.0,1251013.0,1833231.0,2408621.0,1960190.0,21709151.0,50761.0,66881461.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,880.575,-,-,-,-,-,-,880.575,,880575.0,,,,,,,880575.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.949.366,-,-,-,-,-,-,7.949.366,,7949366.0,,,,,,,7949366.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.193.301,43.338.713,-,-,3.926,22.430,-,-,44.558.370,1193301.0,43338713.0,,,3926.0,22430.0,,,44558370.0
