row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,747.616,479.034,747616.0,479034.0
Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC,Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC,Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC,602.999,424.576,602999.0,424576.0
Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,19.614,-,19614.0,
Thu nhập từ xử lý tài sản nhận cán trừ nợ,Thu nhập từ xử lý tài sản nhận cán trừ nợ,Thu nhập từ xử lý tài sản nhận cán trừ nợ,15.748,-,15748.0,
Cổ tức của cổ phiếu nhận cán trừ nợ,Cổ tức của cổ phiếu nhận cán trừ nợ,Cổ tức của cổ phiếu nhận cán trừ nợ,12.696,-,12696.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,96.559,54.458,96559.0,54458.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(10.652),(20.182),-10652.0,-20182.0
Chi thanh lý tài sản cố định,Chi thanh lý tài sản cố định,Chi thanh lý tài sản cố định,(128),(3.464),-128.0,-3464.0
Chi phí khác,Chi phí khác,Chi phí khác,(10.524),(16.718),-10524.0,-16718.0
,,,736.964,458.852,736964.0,458852.0
