row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,col_5,col_6,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__col_5,numeric__col_6
,,,a) Ngắn hạn,11.205.738.502,9.540.676.749,,,,,11205738502.0,9540676749.0,,,
b) Dải hạn,b) Dải hạn,b) Dải hạn,"Công cụ, dụng cụ xuất dùng",964.212.449,575.212.188,,,,,964212449.0,575212188.0,,,
Các khoản khác,Các khoản khác,Các khoản khác,10.241.526.053,8.965.464.561,,,,,10241526053.0,8965464561.0,,,,
Cộng,Cộng,Cộng,11.205.738.502,9.540.676.749,,,,,11205738502.0,9540676749.0,,,,
11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,11. VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,a) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,451.197.513.306,451.197.513.306,803.363.527.285,868.644.013.979,516.478.000.000,516.478.000.000,451197513306.0,451197513306.0,803363527285.0,868644013979.0,516478000000.0,516478000000.0
Ngân hàng BIDVKG,a) Vay ngắn hạn > Ngân hàng BIDVKG,Ngân hàng BIDVKG,73.500.000.000,73.500.000.000,207.400.000.000,203.900.000.000,70.000.000.000,70.000.000.000,73500000000.0,73500000000.0,207400000000.0,203900000000.0,70000000000.0,70000000000.0
Ngân hàng BIDVNKKN,a) Vay ngắn hạn > Ngân hàng BIDVNKKN,Ngân hàng BIDVNKKN,144.968.369.080,144.968.369.080,144.968.369.080,,,,144968369080.0,144968369080.0,144968369080.0,,,
Ngân hàng Bản Việt AG,a) Vay ngắn hạn > Ngân hàng Bản Việt AG,Ngân hàng Bản Việt AG,,,160.798.393.646,160.798.393.646,,,,,160798393646.0,160798393646.0,,
Ngân hàng Việt Á CN SG,a) Vay ngắn hạn > Ngân hàng Việt Á CN SG,Ngân hàng Việt Á CN SG,95.158.826.000,95.158.826.000,104.757.098.000,9.598.272.000,,,95158826000.0,95158826000.0,104757098000.0,9598272000.0,,
Ngân hàng Phát Triển AG,a) Vay ngắn hạn > Ngân hàng Phát Triển AG,Ngân hàng Phát Triển AG,,,,100.980.000.000,100.980.000.000,100.980.000.000,,,,100980000000.0,100980000000.0,100980000000.0
Ngân hàng Tiên Phong,a) Vay ngắn hạn > Ngân hàng Tiên Phong,Ngân hàng Tiên Phong,99.242.245.000,99.242.245.000,110.256.417.000,11.014.172.000,,,99242245000.0,99242245000.0,110256417000.0,11014172000.0,,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,,,,,,,,,,,,
Ngân hàng VP Bank TP HCM,Ngân hàng TMCP Tiên Phong > Ngân hàng VP Bank TP HCM,Ngân hàng VP Bank TP HCM,38.328.073.226,38.328.073.226,74.624.249.559,379.196.176.333,342.900.000.000,342.900.000.000,38328073226.0,38328073226.0,74624249559.0,379196176333.0,342900000000.0,342900000000.0
Vay đối tượng khác,Ngân hàng TMCP Tiên Phong > Vay đối tượng khác,Vay đối tượng khác,,,559.000.000,3.157.000.000,2.598.000.000,2.598.000.000,,,559000000.0,3157000000.0,2598000000.0,2598000000.0
Vay ngắn hạn - USD,Vay ngắn hạn - USD,Vay ngắn hạn - USD,,,,,,,,,,,,
Cộng,Vay ngắn hạn - USD > Cộng,Cộng,451.197.513.306,451.197.513.306,803.363.527.285,868.644.013.979,516.478.000.000,516.478.000.000,451197513306.0,451197513306.0,803363527285.0,868644013979.0,516478000000.0,516478000000.0
