row_label_raw,row_label_full,Năm nay,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,294.102.771.808,150.802.318.773,358.615.177.930,803.520.268.511,294102771808.0,150802318773.0,358615177930.0,803520268511.0
Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,,,,,,,,
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần cung cấp giữa các bộ phận > Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,294.102.771.808,150.802.318.773,358.615.177.930,803.520.268.511,294102771808.0,150802318773.0,358615177930.0,803520268511.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,138.430.632.511,25.751.845.549,17.804.985.132,181.987.463.192,138430632511.0,25751845549.0,17804985132.0,181987463192.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(72.953.372.199),,,,-72953372199.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần cung cấp giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,109.034.090.993,,,,109034090993.0
Doanh thu hoạt động tài chính,Doanh thu thuần cung cấp giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,7.852.180.011,,,,7852180011.0
Chi phí tài chính,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(21.599.306.552),,,,-21599306552.0
Thu nhập khác,Doanh thu thuần cung cấp giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,908.975.436,,,,908975436.0
Chi phí khác,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(1.799.982.850),,,,-1799982850.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(21.152.294.944),,,,-21152294944.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,1.564.203,,,,1564203.0
Lợi nhuận sau thuế TNDN,Doanh thu thuần cung cấp giữa các bộ phận > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,73.245.226.297,,,,73245226297.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Doanh thu thuần cung cấp giữa các bộ phận > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,19.239.632.359,,,,19239632359.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Doanh thu thuần cung cấp giữa các bộ phận > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,23.344.167.050,,,,23344167050.0
