row_label_raw,row_label_full,BÁT ĐỘNG SẢN ĐẦU TƯ,BÁT ĐỘNG SẢN ĐẦU TƯ_1,BÁT ĐỘNG SẢN ĐẦU TƯ_2,BÁT ĐỘNG SẢN ĐẦU TƯ_3,BÁT ĐỘNG SẢN ĐẦU TƯ_4,numeric__BÁT ĐỘNG SẢN ĐẦU TƯ_1,numeric__BÁT ĐỘNG SẢN ĐẦU TƯ_2,numeric__BÁT ĐỘNG SẢN ĐẦU TƯ_3,numeric__BÁT ĐỘNG SẢN ĐẦU TƯ_4
Khoản mục,Khoản mục,Khoản mục,Số đầu năm,Tăng trong kỳ,Giảm trong kỳ,Số cuối kỳ,,,,
"a, Bất động sản đầu tư cho thuê","a, Bất động sản đầu tư cho thuê","a, Bất động sản đầu tư cho thuê",,,,,,,,
I. Nguyên giá,"a, Bất động sản đầu tư cho thuê > I. Nguyên giá",I. Nguyên giá,105.900.867.651,15.942.066.174,69.352.977.371,52.489.956.454,105900867651.0,15942066174.0,69352977371.0,52489956454.0
- Quyền sử dụng đất,"a, Bất động sản đầu tư cho thuê > - Quyền sử dụng đất",- Quyền sử dụng đất,51.383.674.376,,4.501.818.182,46.881.856.194,51383674376.0,,4501818182.0,46881856194.0
- Nhà (*),"a, Bất động sản đầu tư cho thuê > - Nhà (*)",- Nhà (*),54.517.193.275,15.942.066.174,64.851.159.189,5.608.100.260,54517193275.0,15942066174.0,64851159189.0,5608100260.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
II. Giá trị hao mòn luỹ kế,- Cơ sở hạ tầng > II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,20.137.531.981,2.844.503.212,18.376.531.876,4.605.503.317,20137531981.0,2844503212.0,18376531876.0,4605503317.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Quyền sử dụng đất > - Nhà,- Nhà,20.137.531.981,2.844.503.212,18.376.531.876,4.605.503.317,20137531981.0,2844503212.0,18376531876.0,4605503317.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
III. Giá trị còn lại,- Cơ sở hạ tầng > III. Giá trị còn lại,III. Giá trị còn lại,85.763.335.670,,,47.884.453.137,85763335670.0,,,47884453137.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,51.383.674.376,,,46.881.856.194,51383674376.0,,,46881856194.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,34.379.661.294,,,1.002.596.943,34379661294.0,,,1002596943.0
