row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Từ 01 năm trở xuống,numeric__Từ 01 năm trở xuống
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,74.369.561.589,74369561589.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,261.271.670.424,261271670424.0
Vay và nợ,Vay và nợ,Vay và nợ,451.197.513.306,451197513306.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,56.590.959.867,56590959867.0
Cộng,Cộng,Cộng,843.429.705.186,843429705186.0
