row_label_raw,row_label_full,b) Vay dài hạn > Trên 1 năm đến 5 năm,Số cuối năm > Giá trị > 519.422.409.000,Số cuối năm > Số có khả năng trả nợ > 519.422.409.000,Trong năm > Tăng > 457.894.528.800,Trong năm > Giảm > 335.036.634.500,Số đầu năm > Giá trị > 396.564.514.700,Số đầu năm > Số có khả năng trả nợ > 396.564.514.700,numeric__Số cuối năm > Giá trị > 519.422.409.000,numeric__Số cuối năm > Số có khả năng trả nợ > 519.422.409.000,numeric__Trong năm > Tăng > 457.894.528.800,numeric__Trong năm > Giảm > 335.036.634.500,numeric__Số đầu năm > Giá trị > 396.564.514.700,numeric__Số đầu năm > Số có khả năng trả nợ > 396.564.514.700
Ngân hàng Á Châu - AG,Ngân hàng Á Châu - AG,Ngân hàng Á Châu - AG,246.887.514.800,246.887.514.800,97.273.103.800,18.925.000.000,168.539.411.000,168.539.411.000,246887514800.0,246887514800.0,97273103800.0,18925000000.0,168539411000.0,168539411000.0
Ngân hàng TMCP Bản Việt - AG,Ngân hàng TMCP Bản Việt - AG,Ngân hàng TMCP Bản Việt - AG,15.625.000.000,15.625.000.000,,6.250.000.000,21.875.000.000,21.875.000.000,15625000000.0,15625000000.0,,6250000000.0,21875000000.0,21875000000.0
Ngân hàng TMCP Liên Việt AG,Ngân hàng TMCP Liên Việt AG,Ngân hàng TMCP Liên Việt AG,98.580.000.000,98.580.000.000,100.000.000.000,1.420.000.000,,,98580000000.0,98580000000.0,100000000000.0,1420000000.0,,
Ngân hàng Ngoại thương AG,Ngân hàng Ngoại thương AG,Ngân hàng Ngoại thương AG,39.536.822.800,39.536.822.800,,18.730.000.000,58.266.822.800,58.266.822.800,39536822800.0,39536822800.0,,18730000000.0,58266822800.0,58266822800.0
Ngân hàng TMCP Phương Đông AG,Ngân hàng TMCP Phương Đông AG,Ngân hàng TMCP Phương Đông AG,5.880.000.000,5.880.000.000,,19.080.000.000,24.960.000.000,24.960.000.000,5880000000.0,5880000000.0,,19080000000.0,24960000000.0,24960000000.0
Ngân hàng TMCP Tiên Phong AG,Ngân hàng TMCP Tiên Phong AG,Ngân hàng TMCP Tiên Phong AG,22.000.000.000,22.000.000.000,,3.000.000.000,25.000.000.000,25.000.000.000,22000000000.0,22000000000.0,,3000000000.0,25000000000.0,25000000000.0
Ngân đối tượng khác,Ngân đối tượng khác,Ngân đối tượng khác,90.913.071.400,90.913.071.400,260.621.425.000,267.631.634.500,97.923.280.900,97.923.280.900,90913071400.0,90913071400.0,260621425000.0,267631634500.0,97923280900.0,97923280900.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,8.165.130.000,8.165.130.000,,,8.165.130.000,8.165.130.000,8165130000.0,8165130000.0,,,8165130000.0,8165130000.0
- Ngân hàng Ngoại thương An.Giang,- Ngân hàng Ngoại thương An.Giang,- Ngân hàng Ngoại thương An.Giang,8.165.130.000,8.165.130.000,,,8.165.130.000,8.165.130.000,8165130000.0,8165130000.0,,,8165130000.0,8165130000.0
Cộng,Cộng,Cộng,527.587.539.000,527.587.539.000,457.894.528.800,335.036.634.500,404.729.644.700,404.729.644.700,527587539000.0,527587539000.0,457894528800.0,335036634500.0,404729644700.0,404729644700.0
Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc năm tài chính như sau:,,,,,,
