row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,470.480.211.671,,388.953.690.437,,470.480.211.671,388.953.690.437,470480211671.0,,388953690437.0,,470480211671.0,388953690437.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,341.005.305.484,,337.205.532.590,,341.005.305.484,337.205.532.590,341005305484.0,,337205532590.0,,341005305484.0,337205532590.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.028.788.727.047,,268.443.271.379,,1.028.788.727.047,268.443.271.379,1028788727047.0,,268443271379.0,,1028788727047.0,268443271379.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,132.344.458.449,,90.903.144.107,,132.344.458.449,90.903.144.107,132344458449.0,,90903144107.0,,132344458449.0,90903144107.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,659.020.679.800,(4.936.347.547),277.359.519.800,(6.404.540.401),721.094.854.100,278.077.013.399,659020679800.0,-4936347547.0,277359519800.0,-6404540401.0,721094854100.0,278077013399.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.631.639.382.451,(4.936.347.547),1.362.865.158.313,(6.404.540.401),2.693.713.556.751,1.363.582.651.912,2631639382451.0,-4936347547.0,1362865158313.0,-6404540401.0,2693713556751.0,1363582651912.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,74.369.561.589,,100.236.326.979,,74.369.561.589,100.236.326.979,74369561589.0,,100236326979.0,,74369561589.0,100236326979.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,261.271.670.424,,,,261.271.670.424,,261271670424.0,,,,261271670424.0,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,978.785.052.306,,921.207.644.700,,978.785.052.306,921.207.644.700,978785052306.0,,921207644700.0,,978785052306.0,921207644700.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,,,,,,
Các khoản phải trả khác,Phải trả người lao động > Các khoản phải trả khác,Các khoản phải trả khác,57.090.959.867,,22.500.781.764,,57.090.959.867,22.500.781.764,57090959867.0,,22500781764.0,,57090959867.0,22500781764.0
Cộng,Phải trả người lao động > Cộng,Cộng,1.371.517.244.186,,1.043.944.753.443,,1.371.517.244.186,1.043.944.753.443,1371517244186.0,,1043944753443.0,,1371517244186.0,1043944753443.0
