row_label_raw,row_label_full,b) Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Dự phòng
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,,,,,,,,,,,,
b2) Dải hạn,b1) Ngắn hạn > b2) Dải hạn,b2) Dải hạn,5.110.000.000,5.110.000.000,,,,,5110000000.0,5110000000.0,,,,
- Tiền gửi có kỳ hạn,b1) Ngắn hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,5.110.000.000,5.110.000.000,,,,,5110000000.0,5110000000.0,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
Đầu tư vào công ty con,c) Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty con,Đầu tư vào công ty con,413.464.109.800,,(1.393.759.593),53.047.729.800,,(612.174.541),413464109800.0,,-1393759593.0,53047729800.0,,-612174541.0
+ Công ty TNHH Dũng Thịnh Phát (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty TNHH Dũng Thịnh Phát (*),+ Công ty TNHH Dũng Thịnh Phát (*),33.000.000.000,,,33.000.000.000,,,33000000000.0,,,33000000000.0,,
+ Công ty CP Du Lịch Đồng Tháp (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Du Lịch Đồng Tháp (*),+ Công ty CP Du Lịch Đồng Tháp (*),45.391.109.800,,,20.047.729.800,,(612.174.541),45391109800.0,,,20047729800.0,,-612174541.0
+ Công ty CP Phú Hùng Phú Quốc (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Phú Hùng Phú Quốc (*),+ Công ty CP Phú Hùng Phú Quốc (*),335.073.000.000,,(1.393.759.593),,,,335073000000.0,,-1393759593.0,,,
Đầu tư Công ty liên doanh liên kết,c) Đầu tư góp vốn vào đơn vị khác > Đầu tư Công ty liên doanh liên kết,Đầu tư Công ty liên doanh liên kết,200.386.570.000,196.560.744.300,(3.510.000.000),200.371.790.000,118.333.824.000,(5.779.313.364),200386570000.0,196560744300.0,-3510000000.0,200371790000.0,118333824000.0,-5779313364.0
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,196.876.570.000,196.560.744.300,,111.211.790.000,118.333.824.000,,196876570000.0,196560744300.0,,111211790000.0,118333824000.0,
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,,,,62.000.000.000,,,,,,62000000000.0,,
+ Công ty CP CP Đầu Cá Châu Á,c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP CP Đầu Cá Châu Á,+ Công ty CP CP Đầu Cá Châu Á,,,,24.000.000.000,,(3.676.926.177),,,,24000000000.0,,-3676926177.0
+ Công ty CP Đầu Tư Tài Chính Và Truyền Thông Quốc Tế. (*),c) Đầu tư góp vốn vào đơn vị khác > + Công ty CP Đầu Tư Tài Chính Và Truyền Thông Quốc Tế. (*),+ Công ty CP Đầu Tư Tài Chính Và Truyền Thông Quốc Tế. (*),3.510.000.000,,(3.510.000.000),3.160.000.000,,(2.102.387.187),3510000000.0,,-3510000000.0,3160000000.0,,-2102387187.0
Đầu tư vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,40.060.000.000,82.500.000.000,(32.587.954),23.940.000.000,,(13.052.496),40060000000.0,82500000000.0,-32587954.0,23940000000.0,,-13052496.0
