row_label_raw,row_label_full,Số đầu năm,col_1,An Giang,Đồng Tháp,Địa bàn khác,Đơn vị tính: VND Tổng cộng,numeric__col_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Đơn vị tính: VND Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,889.716.361.676,397.010.977.727,268.424.592.389,1.555.151.931.792,,889716361676.0,397010977727.0,268424592389.0,1555151931792.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,835.749.262.512,,,,,835749262512.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,889.716.361.676,397.010.977.727,268.424.592.389,2.390.901.194.304,,889716361676.0,397010977727.0,268424592389.0,2390901194304.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,336.564.514.700,,,336.564.514.700,,336564514700.0,,,336564514700.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,,838.614.630.074,,,,,838614630074.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,336.564.514.700,,,1.175.179.144.774,,336564514700.0,,,1175179144774.0
b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,,,,,
Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Chỉ tiêu > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,296.710.696.346,148.532.727.273,332.733.569.969,25.543.274.923,803.520.268.511,296710696346.0,148532727273.0,332733569969.0,25543274923.0,803520268511.0
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,879.888.230.815,63.998.355.280,,121.842.933.825,1.065.729.519.920,879888230815.0,63998355280.0,,121842933825.0,1065729519920.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chỉ tiêu > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,19.239.632.359,,,,,19239632359.0
Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Chỉ tiêu > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,233.207.633.506,49.653.585.228,908.291.908.450,16.021.997.049,1.207.175.124.233,233207633506.0,49653585228.0,908291908450.0,16021997049.0,1207175124233.0
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,1.102.681.263.420,74.751.846.220,,11.157.629.798,1.188.590.739.438,1102681263420.0,74751846220.0,,11157629798.0,1188590739438.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chỉ tiêu > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,16.395.085.248,,,,,16395085248.0
