row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,476.834.400.000,141.588.960.000,21.266.060.888,4.971.647.795,15.436.239.576,660.097.308.259,476834400000.0,141588960000.0,21266060888.0,4971647795.0,15436239576.0,660097308259.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,596.043.000.000,,,,,596.043.000.000,596043000000.0,,,,,596043000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,,80.464.933.857,80.464.933.857,,,,,80464933857.0,80464933857.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,2.038.370.342,,,2.038.370.342,,,2038370342.0,,,2038370342.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(2.547.962.928),(2.547.962.928),,,,,-2547962928.0,-2547962928.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,,,,,,,,,,,,
Chia cổ tức,Lỗ trong năm trước > Chia cổ tức,Chia cổ tức,,(95.366.880.000),,,(23.841.720.000),(119.208.600.000),,-95366880000.0,,,-23841720000.0,-119208600000.0
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Thù lao hội đồng quản trị > Giảm khác,Giảm khác,,(1.165.000.000),,,,(1.165.000.000),,-1165000000.0,,,,-1165000000.0
Số dư đầu năm nay,Thù lao hội đồng quản trị > Số dư đầu năm nay,Số dư đầu năm nay,1.072.877.400.000,45.057.080.000,23.304.431.230,4.971.647.795,69.511.490.505,1.215.722.049.530,1072877400000.0,45057080000.0,23304431230.0,4971647795.0,69511490505.0,1215722049530.0
Tăng vốn trong năm nay,Thù lao hội đồng quản trị > Tăng vốn trong năm nay,Tăng vốn trong năm nay,1.072.877.400.000,(880.000),,,,1.072.876.520.000,1072877400000.0,-880000.0,,,,1072876520000.0
Lãi trong năm nay,Thù lao hội đồng quản trị > Lãi trong năm nay,Lãi trong năm nay,,,,,73.245.226.297,73.245.226.297,,,,,73245226297.0,73245226297.0
Tăng do trích từ lợi nhuận,Thù lao hội đồng quản trị > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,53.643.870.000,,6.437.194.708,,,60.081.064.708,53643870000.0,,6437194708.0,,,60081064708.0
Tăng khác,Tăng khác,Tăng khác,,,,,,,,,,,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm trong năm > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(8.046.493.385),(8.046.493.385),,,,,-8046493385.0,-8046493385.0
Chia cổ tức,Giảm trong năm > Chia cổ tức,Chia cổ tức,,,,,(53.643.870.000),(53.643.870.000),,,,,-53643870000.0,-53643870000.0
Số dư cuối năm nay,Giảm trong năm > Số dư cuối năm nay,Số dư cuối năm nay,2.199.398.670.000,45.056.200.000,29.741.625.938,4.971.647.795,81.066.353.417,2.360.234.497.150,2199398670000.0,45056200000.0,29741625938.0,4971647795.0,81066353417.0,2360234497150.0
