row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2024VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1/1/2024VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2024VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__1/1/2024VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn
Tiền gửi ngân hàng có kỳ hạn (i),Tiền gửi ngân hàng có kỳ hạn (i),Tiền gửi ngân hàng có kỳ hạn (i),12.087.255.390,47.713.426.400,12087255390.0,47713426400.0
Trái phiếu do Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam phát hành (ii),Trái phiếu do Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam phát hành (ii),Trái phiếu do Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam phát hành (ii),-,5.000.000.000,,5000000000.0
,,,12.087.255.390,52.713.426.400,12087255390.0,52713426400.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,
Trái phiếu do Ngân hàng Thương mại Cổ phần Công thương Việt Nam phát hành (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > Trái phiếu do Ngân hàng Thương mại Cổ phần Công thương Việt Nam phát hành (iii),Trái phiếu do Ngân hàng Thương mại Cổ phần Công thương Việt Nam phát hành (iii),13.000.000.000,13.000.000.000,13000000000.0,13000000000.0
