row_label_raw,row_label_full,col_0,Số ngày quá hạn,31/12/2024 > Giá gốc VND,31/12/2024 > Giá trị có thể thu hồi VND,31/12/2024 > Dự phòng VND,Số ngày quá hạn_1,1/1/2024 > Giá gốc VND,1/1/2024 > Giá trị có thể thu hồi VND,1/1/2024 > Dự phòng VND,numeric__Số ngày quá hạn,numeric__31/12/2024 > Giá gốc VND,numeric__31/12/2024 > Giá trị có thể thu hồi VND,numeric__31/12/2024 > Dự phòng VND,numeric__Số ngày quá hạn_1,numeric__1/1/2024 > Giá gốc VND,numeric__1/1/2024 > Giá trị có thể thu hồi VND,numeric__1/1/2024 > Dự phòng VND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
H.T. Foods Pvt Ltd.,Nợ quá hạn > H.T. Foods Pvt Ltd.,H.T. Foods Pvt Ltd.,3 – 5 năm,113.137.381.815,-,(113.137.381.815),2 – 4 năm,113.137.381.815,-,(113.137.381.815),,113137381815.0,,-113137381815.0,,113137381815.0,,-113137381815.0
Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải,Nợ quá hạn > Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải,Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải,11 – 12 năm,982.302.147,-,(982.302.147),10 – 11 năm,982.302.147,-,(982.302.147),,982302147.0,,-982302147.0,,982302147.0,,-982302147.0
Công ty Cổ phần Nười trồng và Chế biến Thủy sản Mỏ Ô,Nợ quá hạn > Công ty Cổ phần Nười trồng và Chế biến Thủy sản Mỏ Ô,Công ty Cổ phần Nười trồng và Chế biến Thủy sản Mỏ Ô,11 – 12 năm,771.913.390,-,(771.913.390),10 – 11 năm,771.913.390,-,(771.913.390),,771913390.0,,-771913390.0,,771913390.0,,-771913390.0
Sóc Trăng,Nợ quá hạn > Sóc Trăng,Sóc Trăng,11 – 12 năm,209.324.000,-,(209.324.000),10 – 11 năm,209.324.000,-,(209.324.000),,209324000.0,,-209324000.0,,209324000.0,,-209324000.0
Công ty TNHH Thanh Bình Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn,Nợ quá hạn > Công ty TNHH Thanh Bình Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn,Công ty TNHH Thanh Bình Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn,N/A,-,-,-,3 – 4 năm,8.650.290.000,-,(8.650.290.000),,,,,,8650290000.0,,-8650290000.0
Các khách hàng khác,Nợ quá hạn > Các khách hàng khác,Các khách hàng khác,Dưới 5 năm,1.785.841.779,-,(1.785.841.779),Dưới 4 năm,109.465.000,-,(109.465.000),,1785841779.0,,-1785841779.0,,109465000.0,,-109465000.0
,,,,116.886.763.131,-,(116.886.763.131),,123.860.676.352,-,(123.860.676.352),,116886763131.0,,-116886763131.0,,123860676352.0,,-123860676352.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Dự phòng phải thu khó đòi – ngắn hạn,Trong đó: > Dự phòng phải thu khó đòi – ngắn hạn,Dự phòng phải thu khó đòi – ngắn hạn,,,,(116.886.763.131),,,,(123.860.676.352),,,,-116886763131.0,,,,-123860676352.0
