row_label_raw,row_label_full,Số dư đầu năm,2024 > Chênh lệch tạm thời VND > -,2024 > Giá trị thuế VND > -,2024 > Lỗ tính thuế VND > 1.292.590.397.812,2024 > Giá trị thuế VND > 227.698.408.099,numeric__2024 > Chênh lệch tạm thời VND > -,numeric__2024 > Giá trị thuế VND > -,numeric__2024 > Lỗ tính thuế VND > 1.292.590.397.812,numeric__2024 > Giá trị thuế VND > 227.698.408.099
Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,58.872.498.497,5.887.249.850,-,-,58872498497.0,5887249850.0,,
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(37.827.293.027),(3.782.729.303),,,-37827293027.0,-3782729303.0
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,563.837.143.751,84.268.605.263,,,563837143751.0,84268605263.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,58.872.498.497,5.887.249.850,1.818.600.248.536,308.184.284.059,58872498497.0,5887249850.0,1818600248536.0,308184284059.0
,,,2023,2023,2023,2023,2023.0,2023.0,2023.0,2023.0
,,,Chênh lệch tạm thời VND,Giá trị thuế VND,Lỗ tính thuế VND,Giá trị thuế VND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,581.772.246,116.354.449,711.852.620.599,131.115.019.357,581772246.0,116354449.0,711852620599.0,131115019357.0
Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,(581.772.246),(116.354.449),-,-,-581772246.0,-116354449.0,,
Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,Lỗ tính thuế phát sinh trong năm,-,-,592.439.287.035,97.946.150.225,,,592439287035.0,97946150225.0
Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,Lỗ tính thuế hết hiệu lực,-,-,(11.701.509.822),(1.362.761.483),,,-11701509822.0,-1362761483.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,1.292.590.397.812,227.698.408.099,,,1292590397812.0,227698408099.0
