row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có thời hạn xác định VND,Phần mềm máy vi tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có thời hạn xác định VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.897.319.400,131.943.393.304,34.450.902.463,186.291.615.167,19897319400.0,131943393304.0,34450902463.0,186291615167.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,1.848.755.000,1.848.755.000,,,1848755000.0,1848755000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,805.351.110,-,(128.266.070),677.085.040,805351110.0,,-128266070.0,677085040.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,20.702.670.510,131.943.393.304,36.171.391.393,188.817.455.207,20702670510.0,131943393304.0,36171391393.0,188817455207.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,20.484.309.829,21.316.950.623,41.801.260.452,,20484309829.0,21316950623.0,41801260452.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,4.173.534.069,2.853.457.775,7.026.991.844,,4173534069.0,2853457775.0,7026991844.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,24.657.843.898,24.170.408.398,48.828.252.296,,24657843898.0,24170408398.0,48828252296.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.897.319.400,111.459.083.475,13.133.951.840,144.490.354.715,19897319400.0,111459083475.0,13133951840.0,144490354715.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,20.702.670.510,107.285.549.406,12.000.982.995,139.989.202.911,20702670510.0,107285549406.0,12000982995.0,139989202911.0
