row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Cho năm kết thúc ngày31 tháng 12 năm 2023,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Nuôi trồngssản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Bộ phậnkinh doanh khácVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Loại trừVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hợp nhấtVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Nuôi trồngssản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Bộ phậnkinh doanh khácVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Loại trừVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hợp nhấtVND
Doanh thu thuần bán hàng rabên ngoài,Doanh thu thuần bán hàng rabên ngoài,Doanh thu thuần bán hàng rabên ngoài,6.526.771.618.036,4.038.451.828.554,70.229.671.709,131.938.093.445,-,10.767.391.211.744,6526771618036.0,4038451828554.0,70229671709.0,131938093445.0,,10767391211744.0
Doanh thu thuần giữa cácbộ phận,Doanh thu thuần giữa cácbộ phận,Doanh thu thuần giữa cácbộ phận,4.344.517.966.741,287.158.306.577,346.656.747.792,527.147.181.158,(5.505.480.202.268),-,4344517966741.0,287158306577.0,346656747792.0,527147181158.0,-5505480202268.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,10.871.289.584.777,4.325.610.135.131,416.886.419.501,659.085.274.603,(5.505.480.202.268),10.767.391.211.744,10871289584777.0,4325610135131.0,416886419501.0,659085274603.0,-5505480202268.0,10767391211744.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,379.973.430.190,(22.561.216.882),(301.725.534.833),1.071.830.677,-,56.758.509.152,379973430190.0,-22561216882.0,-301725534833.0,1071830677.0,,56758509152.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,97.927.947.833,,,,,,97927947833.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(248.937.597.398),,,,,,-248937597398.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,37.638.333.064,,,,,,37638333064.0
Lỗ thuần từ hoạt động kinh doanh,Lỗ thuần từ hoạt động kinh doanh,Lỗ thuần từ hoạt động kinh doanh,,,,,,(56.612.807.349),,,,,,-56612807349.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,12.271.242.862,,,,,,12271242862.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(51.177.811.886),,,,,,-51177811886.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(9.551.458.306),,,,,,-9551458306.0
Lỗ thuần sau thuế,Lỗ thuần sau thuế,Lỗ thuần sau thuế,,,,,,(105.070.834.679),,,,,,-105070834679.0
