row_label_raw,row_label_full,col_0,1/1/2024VND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Chênh lệchdo đánh giá lạiVND,31/12/2024VND,numeric__1/1/2024VND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Chênh lệchdo đánh giá lạiVND,numeric__31/12/2024VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.591.980.957.871,12.379.853.649.276,(12.953.499.220.925),4.202.160.330,3.022.537.546.552,3591980957871.0,12379853649276.0,-12953499220925.0,4202160330.0,3022537546552.0
Vay dài hạn đến hạn trả(Thuyết minh 18(b)),Vay dài hạn đến hạn trả(Thuyết minh 18(b)),Vay dài hạn đến hạn trả(Thuyết minh 18(b)),56.584.000.000,113.789.633.203,(80.627.511.074),-,89.746.122.129,56584000000.0,113789633203.0,-80627511074.0,,89746122129.0
,,,3.648.564.957.871,12.493.643.282.479,(13.034.126.731.999),4.202.160.330,3.112.283.668.681,3648564957871.0,12493643282479.0,-13034126731999.0,4202160330.0,3112283668681.0
Số có khả năng trả nợ,Số có khả năng trả nợ,Số có khả năng trả nợ,3.648.564.957.871,,,,3.112.283.668.681,3648564957871.0,,,,3112283668681.0
