row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm (trình bày lại) VND,numeric__Số cuối năm VND,numeric__Số đầu năm (trình bày lại) VND
Tiền,Tiền,Tiền,79.916.652.448,396.342.593.641,79916652448.0,396342593641.0
Tiền mặt tại quỹ,Tiền mặt tại quỹ,Tiền mặt tại quỹ,220.342.311,580.870.230,220342311.0,580870230.0
Tiền gửi ngân hàng cho hoạt động của Công ty,Tiền gửi ngân hàng cho hoạt động của Công ty,Tiền gửi ngân hàng cho hoạt động của Công ty,79.696.310.137,395.761.723.411,79696310137.0,395761723411.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,-,135.000.000.000,,135000000000.0
Tổng cộng,Tổng cộng,Tổng cộng,79.916.652.448,531.342.593.641,79916652448.0,531342593641.0
