row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Ngân hàng đầu tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Ngân hàng đầu tư và các bộ phận khác VND,numeric__Tổng cộng VND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,Năm nay > 1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,870.105.271.700,916.437.632.990,360.996.461.038,106.612.902.451,2.254.152.268.179,870105271700.0,916437632990.0,360996461038.0,106612902451.0,2254152268179.0
2. Các chi phí trực tiếp,Năm nay > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,398.225.719.619,483.769.110.772,250.181.514.652,26.886.693.734,1.159.063.038.777,398225719619.0,483769110772.0,250181514652.0,26886693734.0,1159063038777.0
3. Khấu hao và các chi phí phân bổ,Năm nay > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,70.717.571.634,23.166.101.052,9.754.147.812,18.289.027.146,121.926.847.644,70717571634.0,23166101052.0,9754147812.0,18289027146.0,121926847644.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm nay > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,401.161.980.447,409.502.421.166,101.060.798.574,61.437.181.571,973.162.381.758,401161980447.0,409502421166.0,101060798574.0,61437181571.0,973162381758.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận,Số dư cuối năm > 1. Tài sản bộ phận,1. Tài sản bộ phận,3.770.780.023.466,3.479.861.899.991,5.273.147.523.411,3.378.658.182,12.527.168.105.050,3770780023466.0,3479861899991.0,5273147523411.0,3378658182.0,12527168105050.0
2. Tài sản phân bổ,Số dư cuối năm > 2. Tài sản phân bổ,2. Tài sản phân bổ,138.814.196.182,45.473.615.991,19.146.785.680,35.900.223.151,239.334.821.004,138814196182.0,45473615991.0,19146785680.0,35900223151.0,239334821004.0
3. Tài sản không phân bổ,Số dư cuối năm > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,135.468.610.484,,,,,135468610484.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,3.909.594.219.648,3.525.335.515.982,5.292.294.309.091,39.278.881.333,12.901.971.536.538,3909594219648.0,3525335515982.0,5292294309091.0,39278881333.0,12901971536538.0
4. Nợ phải trả bộ phận,Số dư cuối năm > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,357.562.927.034,348.391.367.797,5.082.741.133.761,4.432.642.261,5.793.128.070.853,357562927034.0,348391367797.0,5082741133761.0,4432642261.0,5793128070853.0
5. Nợ phân bổ,Số dư cuối năm > 5. Nợ phân bổ,5. Nợ phân bổ,90.720.749.141,29.718.866.098,12.513.206.778,23.462.262.709,156.415.084.726,90720749141.0,29718866098.0,12513206778.0,23462262709.0,156415084726.0
6. Nợ không phân bổ,Số dư cuối năm > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,79.557.386.357,,,,,79557386357.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,448.283.676.175,378.110.233.895,5.095.254.340.539,27.894.904.970,6.029.100.541.936,448283676175.0,378110233895.0,5095254340539.0,27894904970.0,6029100541936.0
