row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sổVND,Số cuối năm > Giá trị hợp lý (2)VND,Số đầu năm (trình bày lại) > Giá gốcVND,Số đầu năm (trình bày lại) > Giá trị ghi sổVND,Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sổVND,numeric__Số cuối năm > Giá trị hợp lý (2)VND,numeric__Số đầu năm (trình bày lại) > Giá gốcVND,numeric__Số đầu năm (trình bày lại) > Giá trị ghi sổVND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý (2)VND
Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),Cổ phiếu niêm yết (1),1.190.894.540.722,1.090.112.392.892,1.181.025.317.550,1.144.403.011.829,1.012.763.545.450,1.026.946.223.300,1190894540722.0,1090112392892.0,1181025317550.0,1144403011829.0,1012763545450.0,1026946223300.0
HPG,HPG,HPG,62.389.734.766,62.389.734.766,62.883.142.250,274.847.301.025,233.614.098.445,233.618.162.400,62389734766.0,62389734766.0,62883142250.0,274847301025.0,233614098445.0,233618162400.0
SSC,SSC,SSC,164.102.082.037,115.149.069.900,115.149.069.900,162.650.950.864,162.650.950.864,167.864.943.000,164102082037.0,115149069900.0,115149069900.0,162650950864.0,162650950864.0,167864943000.0
FPT,FPT,FPT,183.082.847.113,183.082.847.113,183.665.416.000,20.227.325,20.227.325,23.087.400,183082847113.0,183082847113.0,183665416000.0,20227325.0,20227325.0,23087400.0
PVS,PVS,PVS,77.970.999.907,63.439.530.184,63.439.447.600,91.905.033.734,40.323.601.384,40.320.697.100,77970999907.0,63439530184.0,63439447600.0,91905033734.0,40323601384.0,40320697100.0
DBC,DBC,DBC,251.288.227.278,251.288.227.278,291.843.753.000,184.957.167.636,182.892.443.393,183.833.265.400,251288227278.0,251288227278.0,291843753000.0,184957167636.0,182892443393.0,183833265400.0
ELC,ELC,ELC,206.634.398.872,206.634.398.872,235.126.232.000,101.710.622.764,89.145.246.340,90.587.677.200,206634398872.0,206634398872.0,235126232000.0,101710622764.0,89145246340.0,90587677200.0
PET,PET,PET,45.060.789.684,31.306.898.943,31.305.912.700,45.059.171.784,40.422.281.043,40.421.865.400,45060789684.0,31306898943.0,31305912700.0,45059171784.0,40422281043.0,40421865400.0
LAS,LAS,LAS,41.063.264.511,40.888.080.914,43.837.664.000,90.741.504.757,90.741.504.757,94.259.034.000,41063264511.0,40888080914.0,43837664000.0,90741504757.0,90741504757.0,94259034000.0
VAF,VAF,VAF,67.766.775.917,45.253.072.700,45.253.072.700,67.766.743.877,49.532.076.000,49.532.076.000,67766775917.0,45253072700.0,45253072700.0,67766743877.0,49532076000.0,49532076000.0
