row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Ngày 1 tháng 1năm 2016,Nguyên giá > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,2.609.391.520,68.941.847.513,14.504.261.403,161.260.000,86.216.760.436,2609391520.0,68941847513.0,14504261403.0,161260000.0,86216760436.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.980.095.344,-,-,2.980.095.344,,2980095344.0,,,2980095344.0
Mua trongnăm,Nguyên giá > Mua trongnăm,Mua trongnăm,-,2.980.095.344,-,-,2.980.095.344,,2980095344.0,,,2980095344.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
"Thanh lý,nhuộng bán","Nguyên giá > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
Ngày 31 tháng12 năm 2016,Nguyên giá > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,2.609.391.520,71.546.030.857,14.504.261.403,161.260.000,88.820.943.780,2609391520.0,71546030857.0,14504261403.0,161260000.0,88820943780.0
Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,Khấu hao lũykế,,,,,
Ngày 1 tháng 1năm 2016,Khấu hao lũykế > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,2.609.391.520,59.092.396.347,9.643.207.476,105.475.332,71.450.470.675,2609391520.0,59092396347.0,9643207476.0,105475332.0,71450470675.0
Tăng trong năm,Khấu hao lũykế > Tăng trong năm,Tăng trong năm,-,4.154.827.333,1.085.531.955,40.201.333,5.280.560.621,,4154827333.0,1085531955.0,40201333.0,5280560621.0
Khấu hao trong năm,Khấu hao lũykế > Khấu hao trong năm,Khấu hao trong năm,-,4.154.827.333,1.085.531.955,40.201.333,5.280.560.621,,4154827333.0,1085531955.0,40201333.0,5280560621.0
Giảm trong năm,Khấu hao lũykế > Giảm trong năm,Giảm trong năm,-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
"Thanh lý,nhuộng bán","Khấu hao lũykế > Thanh lý,nhuộng bán","Thanh lý,nhuộng bán",-,(375.912.000),-,-,(375.912.000),,-375912000.0,,,-375912000.0
Ngày 31 tháng12 năm 2016,Khấu hao lũykế > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,2.609.391.520,62.871.311.680,10.728.739.431,145.676.665,76.355.119.296,2609391520.0,62871311680.0,10728739431.0,145676665.0,76355119296.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng 1năm 2016,Giá trị còn lại > Ngày 1 tháng 1năm 2016,Ngày 1 tháng 1năm 2016,-,9.849.451.166,4.861.053.927,55.784.668,14.766.289.761,,9849451166.0,4861053927.0,55784668.0,14766289761.0
Ngày 31 tháng12 năm 2016,Giá trị còn lại > Ngày 31 tháng12 năm 2016,Ngày 31 tháng12 năm 2016,-,8.674.719.177,3.775.521.972,15.583.335,12.465.824.484,,8674719177.0,3775521972.0,15583335.0,12465824484.0
Tổng cộng,Giá trị còn lại > Tổng cộng,Tổng cộng,-,8.674.719.177,3.775.521.972,15.583.335,12.465.824.484,,8674719177.0,3775521972.0,15583335.0,12465824484.0
