row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,61.409.306.509,71.228.108.976,61409306509.0,71228108976.0
Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,Chi phí phải trả Sở Giao dịch Chứng khoán và Trung tâm Lưu ký Chứng khoán,6.446.105.688,5.779.486.553,6446105688.0,5779486553.0
Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,Chi phí lãi trái phiếu,28.295.676.827,45.617.847.224,28295676827.0,45617847224.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,5.667.044.384,3.265.485.311,5667044384.0,3265485311.0
Phí quản lý danh mục ủy thác và phí tư vấn đầu tư phải trả Công ty TNHH Quản lý Quỹ SSI,Phí quản lý danh mục ủy thác và phí tư vấn đầu tư phải trả Công ty TNHH Quản lý Quỹ SSI,Phí quản lý danh mục ủy thác và phí tư vấn đầu tư phải trả Công ty TNHH Quản lý Quỹ SSI,11.154.755.030,8.124.287.890,11154755030.0,8124287890.0
"Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán","Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán","Chi phí lãi hợp đồng bán và cam kết mua lại chứng khoán, hợp đồng đặt cọc môi giới chứng khoán",981.350.992,3.068.427.838,981350992.0,3068427838.0
Phí dịch vụ,Phí dịch vụ,Phí dịch vụ,410.000.000,410.000.000,410000000.0,410000000.0
Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,Phí hoa hồng phải trả cho đối tác,2.212.907.642,4.619.539.121,2212907642.0,4619539121.0
Các khoản khác,Các khoản khác,Các khoản khác,6.241.465.946,343.035.039,6241465946.0,343035039.0
Dài hạn,Dài hạn,Dài hạn,-,-,,
Tổng cộng,Dài hạn > Tổng cộng,Tổng cộng,61.409.306.509,71.228.108.976,61409306509.0,71228108976.0
