row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối nămVND > 5.482.965.448,Số đầu nămVND > 903.522.406,numeric__Số cuối nămVND > 5.482.965.448,numeric__Số đầu nămVND > 903.522.406
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.518.450.132,69.154.445.146,43518450132.0,69154445146.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.832.835.538,12.891.582.282,13832835538.0,12891582282.0
Các loại thuế khác (thuế nhà thầu),Các loại thuế khác (thuế nhà thầu),Các loại thuế khác (thuế nhà thầu),1.933.593.149,1.844.982.185,1933593149.0,1844982185.0
Tổng cộng,Tổng cộng,Tổng cộng,64.767.844.267,84.794.532.019,64767844267.0,84794532019.0
