row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (trình bày lại)
,,,A. TÀI SẢN CỦA CỔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
005,005,005,Ngoại tệ các loại USD,27.1,-,1.174,,271.0,,1174.0
006,006,006,Cổ phiếu đang lưu hành (số lượng),26.4,489.825.250,480.057.365,,264.0,489825250.0,480057365.0
007,007,007,Cổ phiếu quỹ (số lượng),26.4,238.434,6.319,,264.0,238434.0,6319.0
008,008,008,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),27.2,950.202.910.000,846.279.850.000,,272.0,950202910000.0,846279850000.0
009,009,009,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của CTCK (VND),27.3,10.552.040.000,24.690.050.000,,273.0,10552040000.0,24690050000.0
010,010,010,Tài sản tài chính chờ về của CTCK (VND),27.4,4.660.000,1.587.550.000,,274.0,4660000.0,1587550000.0
012,012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),27.5,461.509.810.000,72.141.610.000,,275.0,461509810000.0,72141610000.0
013,013,013,Tài sản tài chính được hưởng quyền của CTCK (VND),,2.430.000,1.760.000,,,2430000.0,1760000.0
,,,B. TÀI SẢN VÀ CÁC KHOÀN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,,,,,,,
021,021,021,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư (VND),27.6,26.872.935.050.000,22.222.371.140.000,,276.0,26872935050000.0,22222371140000.0
021.1,021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,22.283.452.350.000,18.135.210.430.000,,,22283452350000.0,18135210430000.0
021.2,021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,682.966.010.000,748.571.050.000,,,682966010000.0,748571050000.0
021.3,021.3,021.3,Tài sản tài chính giao dịch cấm cố,,3.600.644.250.000,2.759.764.320.000,,,3600644250000.0,2759764320000.0
021.4,021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,15.664.600.000,-,,,15664600000.0,
021.5,021.5,021.5,Tài sản tài chính chờ thanh toán,,290.207.840.000,578.825.340.000,,,290207840000.0,578825340000.0
