row_label_raw,row_label_full,31 tháng 12 năm 2016,Quá hạnVND > 31 tháng 12 năm 2016,Không kỳ hạnVND > 31 tháng 12 năm 2016,Đến 01 nămVND > 31 tháng 12 năm 2016,Từ 01 – 05 nămVND > 31 tháng 12 năm 2016,Trên 05 nămVND > 31 tháng 12 năm 2016,Tổng cộngVND > 31 tháng 12 năm 2016,numeric__Quá hạnVND > 31 tháng 12 năm 2016,numeric__Không kỳ hạnVND > 31 tháng 12 năm 2016,numeric__Đến 01 nămVND > 31 tháng 12 năm 2016,numeric__Từ 01 – 05 nămVND > 31 tháng 12 năm 2016,numeric__Trên 05 nămVND > 31 tháng 12 năm 2016,numeric__Tổng cộngVND > 31 tháng 12 năm 2016
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Đầu tư kỳ hạn cố định,TÀI SẢN TÀI CHÍNH > Đầu tư kỳ hạn cố định,Đầu tư kỳ hạn cố định,8.413.968.803,214.303.031.818,9.102.531.084.672,41.007.379.429,-,9.366.255.464.722,8413968803.0,214303031818.0,9102531084672.0,41007379429.0,,9366255464722.0
Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi cố kỳ hạn,TÀI SẢN TÀI CHÍNH > Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi cố kỳ hạn,Giữ đến ngày đáo hạn – Chứng khoán Nợvà tiền gửi cố kỳ hạn,-,-,5.243.732.542.397,41.007.379.429,-,5.284.739.921.826,,,5243732542397.0,41007379429.0,,5284739921826.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,TÀI SẢN TÀI CHÍNH > Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,Tài sản tài chính ghi nhận thông qua lãi/lỗ –Chứng khoán Nợ,-,-,302.337.500.100,-,-,302.337.500.100,,,302337500100.0,,,302337500100.0
Các khoản cho vay,TÀI SẢN TÀI CHÍNH > Các khoản cho vay,Các khoản cho vay,8.413.968.803,214.303.031.818,3.556.461.042.175,-,-,3.779.178.042.796,8413968803.0,214303031818.0,3556461042175.0,,,3779178042796.0
Tài sản tài chính khác,TÀI SẢN TÀI CHÍNH > Tài sản tài chính khác,Tài sản tài chính khác,16.024.974.123,74.716.997.600,-,-,-,90.741.971.723,16024974123.0,74716997600.0,,,,90741971723.0
Phải thu hoạt động giao dịch chứng khoán,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động giao dịch chứng khoán,Phải thu hoạt động giao dịch chứng khoán,-,2.100.000,-,-,-,2.100.000,,2100000.0,,,,2100000.0
"Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > Các khoản cảm cố, ký quỹ, ký cược","Các khoản cảm cố, ký quỹ, ký cược",-,19.878.966.376,-,-,-,19.878.966.376,,19878966376.0,,,,19878966376.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,16.024.974.123,54.835.931.224,-,-,-,70.860.905.347,16024974123.0,54835931224.0,,,,70860905347.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,79.916.652.448,-,-,-,79.916.652.448,,79916652448.0,,,,79916652448.0
Tổng cộng,TÀI SẢN TÀI CHÍNH > Tổng cộng,Tổng cộng,24.438.942.926,368.936.681.866,9.102.531.084.672,41.007.379.429,-,9.536.914.088.893,24438942926.0,368936681866.0,9102531084672.0,41007379429.0,,9536914088893.0
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,,
Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ,,,,,,,,,,,,
Vay và nợ ngắn hạn,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,-,1.254.340.678.085,3.565.000.000.000,-,-,4.819.340.678.085,,1254340678085.0,3565000000000.0,,,4819340678085.0
Trái phiếu phát hành,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Trái phiếu phát hành,Trái phiếu phát hành,-,-,376.000.000.000,199.651.666.665,-,575.651.666.665,,,376000000000.0,199651666665.0,,575651666665.0
Phải trả hoạt động kinh doanh chứng khoán,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,39.617.787.653,-,-,-,39.617.787.653,,39617787653.0,,,,39617787653.0
Chi phí phải trả,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Chi phí phải trả,Chi phí phải trả,-,61.409.306.509,-,-,-,61.409.306.509,,61409306509.0,,,,61409306509.0
"Phải trả, phải nộp khác","Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Phải trả, phải nộp khác","Phải trả, phải nộp khác",-,299.779.679.637,-,-,-,299.779.679.637,,299779679637.0,,,,299779679637.0
Tổng cộng,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Tổng cộng,Tổng cộng,-,1.655.147.451.884,3.941.000.000.000,199.651.666.665,-,5.795.799.118.549,,1655147451884.0,3941000000000.0,199651666665.0,,5795799118549.0
Mức chênh lệch thanh khoản ròng,Các khoản nợ phải trả tài chính được xácđịnh theo giá trị phân bổ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,24.438.942.926,(1.286.210.770.018),5.161.531.084.672,(158.644.287.236),-,3.741.114.970.344,24438942926.0,-1286210770018.0,5161531084672.0,-158644287236.0,,3741114970344.0
